Surname,Given Name,Birth Date,Death Date,Cemetery,Location,Section,Lot,Notes
Moczygemba,Jozef,09/01/1898,02/23/1914,St. Mary's Cemetery,"San Antonio, Bexar County, Texas",C,380,Inscription partially illegible
Fuentes,Margarita,06/07/1828,11/04/1846,Mission Park Cemetery,"San Antonio, Bexar County, Texas",C,22,Headstone broken
Brooks,Mattie,01/06/1880,07/26/1910,Fort Sam Houston National Cemetery,"San Antonio, Bexar County, Texas",Sisters',416,
Thielepape,Wilhelm,05/27/1853,04/01/1913,Odd Fellows Rest Cemetery,"San Antonio, Bexar County, Texas",D,419,
Esparza,Guadalupe,01/04/1958,03/19/1993,Alamo Masonic Cemetery,"San Antonio, Bexar County, Texas",Military,261,Headstone broken
Camarena,Carmen,01/23/1857,01/17/1912,City Cemetery No. 4,"San Antonio, Bexar County, Texas",G,461,Confederate veteran
Baker,Joseph,12/10/1927,11/14/1935,San Jose Burial Ground,"San Antonio, Bexar County, Texas",New Section,161,"Child, age 8"
Allen,Catherine,10/19/1873,07/18/1897,Mission Park Cemetery,"San Antonio, Bexar County, Texas",Military,482,Headstone broken
Cantu,Santiago,09/16/1790,11/03/1867,San Jose Burial Ground,"San Antonio, Bexar County, Texas",H,227,Inscription partially illegible
Dignowity,Lillie,01/08/1862,10/28/1892,Masonic Cemetery,"San Antonio, Bexar County, Texas",D,413,
Montalvo,Tomas,04/06/1808,01/18/1859,Odd Fellows Rest Cemetery,"San Antonio, Bexar County, Texas",C,336,Husband of Juana
Reed,Henry,09/15/1853,12/28/1912,San Jose Burial Ground,"San Antonio, Bexar County, Texas",Sisters',457,Inscription partially illegible
Edwards,Clarence,12/10/1911,05/11/1946,St. John's Lutheran Cemetery,"San Antonio, Bexar County, Texas",Military,123,
Bednarz,Wojciech,07/11/1871,07/02/1900,Sunset Memorial Park,"San Antonio, Bexar County, Texas",Priests',79,Born in Poland
Henderson,Harriet,07/28/1842,09/24/1915,Sunset Memorial Park,"San Antonio, Bexar County, Texas",H,4,
Bell,Elijah,12/06/1929,03/20/1963,Mission Park Cemetery,"San Antonio, Bexar County, Texas",H,15,Headstone broken
Fuentes,Isabel,01/09/1926,06/07/1930,City Cemetery No. 1,"San Antonio, Bexar County, Texas",C,70,"Child, age 4"
Groos,Johanna,04/21/1906,11/02/1938,City Cemetery No. 1,"San Antonio, Bexar County, Texas",H,10,Wife of Wilhelm
Anderson,Chester,08/23/1797,06/06/1816,Odd Fellows Rest Cemetery,"San Antonio, Bexar County, Texas",C,243,Husband of Ella
Walker,Moses,12/07/1945,10/23/1958,San Fernando Cemetery No. 1,"San Antonio, Bexar County, Texas",E,295,Husband of Ruth
Schneider,Ottilie,02/17/1950,01/28/1965,San Fernando Cemetery No. 2,"San Antonio, Bexar County, Texas",F,273,Inscription partially illegible
Nowak,Jozef,10/26/1897,08/14/1978,Holy Cross Cemetery,"San Antonio, Bexar County, Texas",Priests',79,Inscription partially illegible
Richter,Heinrich,06/01/1941,06/06/1976,Holy Cross Cemetery,"San Antonio, Bexar County, Texas",D,385,Shared marker with spouse
Toepperwein,Bertha,02/08/1914,08/18/1990,St. Mary's Cemetery,"San Antonio, Bexar County, Texas",Old Section,6,"Fieldstone marker, no inscription"
Moore,Mary,08/18/1851,07/24/1862,Masonic Cemetery,"San Antonio, Bexar County, Texas",D,208,Wife of Edward
Groos,Ida,12/18/1930,04/07/1962,Odd Fellows Rest Cemetery,"San Antonio, Bexar County, Texas",B,370,
Altgelt,Anna,05/02/1913,09/10/1950,Odd Fellows Rest Cemetery,"San Antonio, Bexar County, Texas",F,92,Headstone broken
French,Mary,01/09/1822,02/27/1895,Masonic Cemetery,"San Antonio, Bexar County, Texas",H,246,Inscription partially illegible
Calderon,Lorenzo,02/08/1806,09/25/1893,San Fernando Cemetery No. 2,"San Antonio, Bexar County, Texas",C,77,
Patterson,Samuel,05/19/1896,10/24/1953,Holy Cross Cemetery,"San Antonio, Bexar County, Texas",E,441,Iron fence enclosure
Price,Augustus,03/01/1815,08/23/1848,City Cemetery No. 1,"San Antonio, Bexar County, Texas",C,123,
Smith,Edward,11/19/1942,07/04/1961,Holy Cross Cemetery,"San Antonio, Bexar County, Texas",B,352,
Weber,Frederick,02/15/1929,12/13/1947,City Cemetery No. 1,"San Antonio, Bexar County, Texas",A,85,Born in Wuerttemberg
Moore,Sarah,01/03/1859,11/27/1935,San Fernando Cemetery No. 2,"San Antonio, Bexar County, Texas",G,377,Headstone broken
Campbell,Raymond,05/06/1937,11/27/1971,San Fernando Cemetery No. 2,"San Antonio, Bexar County, Texas",Sisters',388,
Kozlowski,Katarzyna,07/23/1915,05/22/1957,San Jose Burial Ground,"San Antonio, Bexar County, Texas",Military,54,
Kowalski,Kazimierz,09/27/1892,11/28/1932,St. Mary's Cemetery,"San Antonio, Bexar County, Texas",F,60,
King,Walter,09/05/1928,08/23/1974,St. John's Lutheran Cemetery,"San Antonio, Bexar County, Texas",Military,227,Born in Missouri
Salazar,Rafael,08/04/1914,08/23/1984,San Fernando Cemetery No. 1,"San Antonio, Bexar County, Texas",Old Section,209,
Taylor,Ethel,10/17/1864,02/09/1924,Odd Fellows Rest Cemetery,"San Antonio, Bexar County, Texas",H,283,
Richter,Frieda,03/15/1896,06/11/1932,Masonic Cemetery,"San Antonio, Bexar County, Texas",Children's,301,Iron fence enclosure
Reed,Minnie,01/11/1931,12/26/1955,Odd Fellows Rest Cemetery,"San Antonio, Bexar County, Texas",New Section,197,
Fink,Wilhelm,02/17/1887,01/24/1903,San Jose Burial Ground,"San Antonio, Bexar County, Texas",Children's,52,Spanish-American War veteran
de la Garza,Tomas,06/28/1826,06/21/1859,San Jose Burial Ground,"San Antonio, Bexar County, Texas",New Section,355,Headstone broken
Pawelek,Tadeusz,11/23/1914,08/06/1994,Masonic Cemetery,"San Antonio, Bexar County, Texas",D,383,
Polasek,Michal,09/14/1866,03/06/1873,Masonic Cemetery,"San Antonio, Bexar County, Texas",F,192,"Child, age 7"
Padilla,Leonor,08/09/1810,08/10/1840,St. John's Lutheran Cemetery,"San Antonio, Bexar County, Texas",New Section,74,
Camarena,Isabel,04/13/1929,02/08/1967,Mission Park Cemetery,"San Antonio, Bexar County, Texas",Priests',129,Shared marker with spouse
Roberts,Helen,10/24/1887,05/25/1889,Sunset Memorial Park,"San Antonio, Bexar County, Texas",Children's,290,"Child, age 2"
Smith,Mattie,11/04/1848,05/26/1872,St. Mary's Cemetery,"San Antonio, Bexar County, Texas",Military,387,Wife of Raymond
Hernandez,Guadalupe,09/12/1902,03/09/1939,San Jose Burial Ground,"San Antonio, Bexar County, Texas",Priests',213,
Polasek,Marianna,09/12/1913,07/01/1927,Holy Cross Cemetery,"San Antonio, Bexar County, Texas",B,73,Born in Silesia
Clark,Fannie,02/22/1857,08/01/1952,St. Mary's Cemetery,"San Antonio, Bexar County, Texas",New Section,196,
Jarzombek,Rozalia,03/02/1948,05/16/1956,Holy Cross Cemetery,"San Antonio, Bexar County, Texas",Priests',155,"Child, age 8"
Montalvo,Ignacio,08/20/1819,05/02/1866,Mission Park Cemetery,"San Antonio, Bexar County, Texas",New Section,381,Born in Canary Islands
Koehler,Elise,01/13/1884,04/04/1896,Alamo Masonic Cemetery,"San Antonio, Bexar County, Texas",Old Section,462,
Trujillo,Lorenzo,10/07/1906,09/07/1982,San Fernando Cemetery No. 1,"San Antonio, Bexar County, Texas",A,403,Headstone broken
Toepperwein,Otto,02/22/1940,03/01/1941,St. Mary's Cemetery,"San Antonio, Bexar County, Texas",A,67,Infant
Henderson,Isaiah,12/03/1881,08/25/1883,Fort Sam Houston National Cemetery,"San Antonio, Bexar County, Texas",Children's,65,"Child, age 2"
Moore,Walter,08/21/1882,01/16/1910,San Fernando Cemetery No. 2,"San Antonio, Bexar County, Texas",Priests',402,
Hall,Eugene,03/09/1892,07/20/1948,City Cemetery No. 1,"San Antonio, Bexar County, Texas",B,165,Iron fence enclosure
Altgelt,Gertrud,06/27/1925,07/14/1996,Mission Burial Ground,"San Antonio, Bexar County, Texas",G,232,
Losoya,Francisca,07/04/1814,03/18/1833,St. John's Lutheran Cemetery,"San Antonio, Bexar County, Texas",B,47,
Flores,Concepcion,06/04/1805,03/22/1850,Mission Park Cemetery,"San Antonio, Bexar County, Texas",Children's,469,Wife of Rafael
Kalteyer,Conrad,09/25/1913,10/22/1960,City Cemetery No. 4,"San Antonio, Bexar County, Texas",Sisters',143,Iron fence enclosure
Arocha,Carmen,02/05/1858,02/24/1902,San Fernando Cemetery No. 1,"San Antonio, Bexar County, Texas",C,446,
Beckmann,Mathilde,01/05/1925,10/02/1945,Alamo Masonic Cemetery,"San Antonio, Bexar County, Texas",E,370,Headstone broken
Sanchez,Catalina,07/04/1810,11/22/1866,Mission Park Cemetery,"San Antonio, Bexar County, Texas",E,111,Born in Mexico
Twohig,Florence,03/25/1941,05/11/1991,San Fernando Cemetery No. 2,"San Antonio, Bexar County, Texas",A,105,Headstone broken
Gonzalez,Petra,02/13/1820,07/01/1868,Odd Fellows Rest Cemetery,"San Antonio, Bexar County, Texas",Old Section,287,
Nowak,Agnieszka,03/26/1907,12/12/1958,Mission Park Cemetery,"San Antonio, Bexar County, Texas",E,59,Inscription partially illegible
Trevino,Ramon,12/11/1812,06/25/1887,Sunset Memorial Park,"San Antonio, Bexar County, Texas",Old Section,41,Headstone broken
Reyes,Felipe,04/04/1833,05/07/1857,Alamo Masonic Cemetery,"San Antonio, Bexar County, Texas",F,373,
Gonzalez,Cristobal,11/19/1834,11/11/1914,St. John's Lutheran Cemetery,"San Antonio, Bexar County, Texas",H,387,Confederate veteran
Villarreal,Manuela,05/15/1828,01/02/1866,St. Mary's Cemetery,"San Antonio, Bexar County, Texas",New Section,29,Headstone broken
Pawelek,Piotr,08/26/1884,06/20/1960,Sunset Memorial Park,"San Antonio, Bexar County, Texas",H,298,Iron fence enclosure
Moore,Robert,12/15/1911,09/17/1954,City Cemetery No. 1,"San Antonio, Bexar County, Texas",Old Section,331,
Zambrano,Antonia,02/11/1946,09/22/1998,San Jose Burial Ground,"San Antonio, Bexar County, Texas",Military,307,
Toepperwein,Heinrich,03/20/1888,05/18/1962,Confederate Cemetery,"San Antonio, Bexar County, Texas",F,159,
Davis,Josephine,01/12/1886,03/07/1975,City Cemetery No. 1,"San Antonio, Bexar County, Texas",Military,344,Inscription partially illegible
Kotara,Jadwiga,11/11/1877,10/13/1894,Confederate Cemetery,"San Antonio, Bexar County, Texas",B,152,Native of Poland
Villarreal,Jose,10/10/1829,04/18/1881,Alamo Masonic Cemetery,"San Antonio, Bexar County, Texas",Military,369,
Fischer,Anna,09/17/1851,03/27/1898,Holy Cross Cemetery,"San Antonio, Bexar County, Texas",H,394,
Stewart,Henry,12/28/1841,05/03/1847,St. John's Lutheran Cemetery,"San Antonio, Bexar County, Texas",Children's,191,"Child, age 6"
Cantu,Pedro,07/17/1831,04/13/1859,Holy Cross Cemetery,"San Antonio, Bexar County, Texas",F,477,
Menchaca,Miguel,08/23/1810,12/16/1901,San Jose Burial Ground,"San Antonio, Bexar County, Texas",Sisters',75,
Anderson,Abraham,02/25/1904,04/10/1931,Confederate Cemetery,"San Antonio, Bexar County, Texas",Old Section,482,Born in South Carolina
Soto,Catalina,11/17/1821,12/05/1879,City Cemetery No. 1,"San Antonio, Bexar County, Texas",B,429,
Smith,Pearl,02/17/1864,07/28/1917,Fort Sam Houston National Cemetery,"San Antonio, Bexar County, Texas",Military,343,
Delgado,Teresa,10/24/1910,03/02/1913,Alamo Masonic Cemetery,"San Antonio, Bexar County, Texas",Children's,177,
Edwards,Earl,02/23/1880,01/10/1967,Holy Cross Cemetery,"San Antonio, Bexar County, Texas",Priests',246,Iron fence enclosure
Martinez,Andres,11/07/1841,06/28/1880,Sunset Memorial Park,"San Antonio, Bexar County, Texas",Children's,279,Shared marker with spouse
Green,Martha,06/06/1802,12/16/1849,Mission Park Cemetery,"San Antonio, Bexar County, Texas",G,381,Inscription partially illegible
Pawelek,Franciszka,09/10/1884,02/03/1938,City Cemetery No. 1,"San Antonio, Bexar County, Texas",G,309,
Reed,Willie Mae,01/24/1873,10/14/1964,Mission Park Cemetery,"San Antonio, Bexar County, Texas",C,354,Inscription partially illegible
Jackson,Emmett,01/05/1860,01/05/1941,Sunset Memorial Park,"San Antonio, Bexar County, Texas",F,263,World War I veteran
Delgado,Antonia,08/25/1807,10/05/1879,San Fernando Cemetery No. 2,"San Antonio, Bexar County, Texas",New Section,79,Wife of Alejandro
Dittmar,Bertha,09/04/1925,05/23/1956,City Cemetery No. 4,"San Antonio, Bexar County, Texas",A,377,
Schuetze,Amalie,12/15/1904,11/28/1929,City Cemetery No. 4,"San Antonio, Bexar County, Texas",C,437,
Freeman,Rufus,06/17/1871,02/07/1908,Masonic Cemetery,"San Antonio, Bexar County, Texas",Children's,81,Born in Missouri
Rodriguez,Francisca,10/03/1825,05/13/1895,Alamo Masonic Cemetery,"San Antonio, Bexar County, Texas",H,412,
Edwards,Pearl,11/17/1912,03/27/1921,Confederate Cemetery,"San Antonio, Bexar County, Texas",F,329,
Davis,Joseph,03/06/1931,12/08/1995,San Fernando Cemetery No. 2,"San Antonio, Bexar County, Texas",Children's,64,"Fieldstone marker, no inscription"
Pawelek,Anna,09/21/1878,10/19/1903,St. Mary's Cemetery,"San Antonio, Bexar County, Texas",C,321,Headstone broken
Calderon,Josefa,10/21/1829,08/21/1832,City Cemetery No. 1,"San Antonio, Bexar County, Texas",B,334,
Fink,Clara,07/16/1929,04/11/1981,Masonic Cemetery,"San Antonio, Bexar County, Texas",H,38,Wife of Ernst
Camarena,Antonia,08/04/1945,08/08/1961,Alamo Masonic Cemetery,"San Antonio, Bexar County, Texas",Old Section,288,
Montalvo,Catalina,10/24/1826,04/25/1879,Odd Fellows Rest Cemetery,"San Antonio, Bexar County, Texas",Children's,462,
Sanchez,Luz,04/07/1830,01/02/1893,San Fernando Cemetery No. 1,"San Antonio, Bexar County, Texas",B,484,Headstone broken
Walker,Minnie,07/12/1862,07/02/1863,City Cemetery No. 4,"San Antonio, Bexar County, Texas",A,452,
Allen,Helen,10/22/1935,03/04/1944,Sunset Memorial Park,"San Antonio, Bexar County, Texas",Old Section,231,"Child, age 9"
Scheele,Elise,01/02/1890,12/11/1908,Mission Burial Ground,"San Antonio, Bexar County, Texas",New Section,261,Inscription partially illegible
Wright,Walter,10/11/1911,12/19/1928,San Jose Burial Ground,"San Antonio, Bexar County, Texas",New Section,164,
Clark,Samuel,10/16/1866,11/26/1952,City Cemetery No. 4,"San Antonio, Bexar County, Texas",G,299,Headstone broken
Young,Frank,04/01/1938,06/14/1959,Sunset Memorial Park,"San Antonio, Bexar County, Texas",C,421,Husband of Elizabeth
Barrera,Felipe,09/07/1828,11/16/1906,St. John's Lutheran Cemetery,"San Antonio, Bexar County, Texas",Children's,435,Born in Texas
Beckmann,Conrad,10/16/1924,04/09/1967,Alamo Masonic Cemetery,"San Antonio, Bexar County, Texas",Military,396,
Nagel,Ida,05/04/1932,07/27/1959,St. John's Lutheran Cemetery,"San Antonio, Bexar County, Texas",F,246,Headstone broken
Wiatrek,Stanislaus,12/16/1878,04/27/1914,City Cemetery No. 1,"San Antonio, Bexar County, Texas",F,474,Inscription partially illegible
Elmendorf,Gertrud,11/08/1927,02/14/1958,Odd Fellows Rest Cemetery,"San Antonio, Bexar County, Texas",A,343,
Howard,Henry,06/10/1874,02/21/1874,Masonic Cemetery,"San Antonio, Bexar County, Texas",C,245,Infant
Weber,Ernst,03/24/1936,01/01/1989,Fort Sam Houston National Cemetery,"San Antonio, Bexar County, Texas",A,429,Headstone broken
Thompson,Edward,04/26/1866,06/06/1924,St. John's Lutheran Cemetery,"San Antonio, Bexar County, Texas",C,436,"Fieldstone marker, no inscription"
Anderson,Willis,07/17/1907,02/13/1950,Masonic Cemetery,"San Antonio, Bexar County, Texas",New Section,346,Born in Alabama
Gutierrez,Andres,06/10/1814,05/21/1845,San Fernando Cemetery No. 1,"San Antonio, Bexar County, Texas",E,197,
Howard,George,11/10/1882,10/08/1941,Masonic Cemetery,"San Antonio, Bexar County, Texas",C,208,Husband of Bessie
Davis,Mildred,09/26/1846,04/22/1941,Alamo Masonic Cemetery,"San Antonio, Bexar County, Texas",G,360,"Fieldstone marker, no inscription"
Kowalski,Tomasz,10/18/1942,03/11/1966,City Cemetery No. 1,"San Antonio, Bexar County, Texas",New Section,58,
Roberts,Harold,03/17/1923,08/19/1985,City Cemetery No. 1,"San Antonio, Bexar County, Texas",Old Section,229,
Rodriguez,Antonia,07/12/1804,09/02/1836,San Fernando Cemetery No. 1,"San Antonio, Bexar County, Texas",Priests',112,Iron fence enclosure
Washington,Bessie,06/13/1807,07/13/1859,City Cemetery No. 1,"San Antonio, Bexar County, Texas",Sisters',329,
Trujillo,Alejandro,01/10/1810,11/24/1825,Masonic Cemetery,"San Antonio, Bexar County, Texas",Old Section,66,Born in Nuevo Leon
Edwards,Florence,01/26/1929,10/25/1960,Holy Cross Cemetery,"San Antonio, Bexar County, Texas",F,80,
Ruiz,Esteban,08/08/1794,01/05/1798,Holy Cross Cemetery,"San Antonio, Bexar County, Texas",Children's,126,"Child, age 4"
Polasek,Piotr,07/10/1918,01/18/1994,San Jose Burial Ground,"San Antonio, Bexar County, Texas",D,155,
Nowak,Tomasz,07/05/1941,07/06/1945,Alamo Masonic Cemetery,"San Antonio, Bexar County, Texas",C,403,"Child, age 4"
Walker,Eugene,09/17/1927,07/08/1945,Holy Cross Cemetery,"San Antonio, Bexar County, Texas",A,288,Inscription partially illegible
Weber,Rudolf,07/22/1855,02/07/1902,City Cemetery No. 1,"San Antonio, Bexar County, Texas",Old Section,371,Native of Germany
Bell,Augustus,12/25/1940,04/23/1982,Masonic Cemetery,"San Antonio, Bexar County, Texas",A,109,
Robinson,Rosie,05/09/1944,09/16/1985,Masonic Cemetery,"San Antonio, Bexar County, Texas",G,239,"Fieldstone marker, no inscription"
Menchaca,Rosa,12/05/1909,05/18/1956,San Jose Burial Ground,"San Antonio, Bexar County, Texas",G,24,Iron fence enclosure
Walker,Catherine,08/18/1939,05/25/1964,San Jose Burial Ground,"San Antonio, Bexar County, Texas",D,195,Iron fence enclosure
Kowalski,Wanda,09/21/1915,09/02/1961,Fort Sam Houston National Cemetery,"San Antonio, Bexar County, Texas",C,369,"Fieldstone marker, no inscription"
Anderson,Joseph,09/15/1809,01/20/1826,Odd Fellows Rest Cemetery,"San Antonio, Bexar County, Texas",B,363,
Howard,Hattie,09/10/1953,09/27/1955,San Fernando Cemetery No. 1,"San Antonio, Bexar County, Texas",C,7,
Dziuk,Pawel,06/09/1900,02/12/1912,Confederate Cemetery,"San Antonio, Bexar County, Texas",D,99,Iron fence enclosure
Roberts,Thomas,02/13/1893,07/18/1931,City Cemetery No. 1,"San Antonio, Bexar County, Texas",Military,440,Iron fence enclosure
Salazar,Pedro,09/02/1911,04/28/1974,Mission Park Cemetery,"San Antonio, Bexar County, Texas",Military,402,Headstone broken
Dignowity,Raymond,04/19/1935,12/27/1970,San Fernando Cemetery No. 2,"San Antonio, Bexar County, Texas",C,476,
Gawlik,Agnieszka,12/05/1891,09/24/1921,Sunset Memorial Park,"San Antonio, Bexar County, Texas",Military,460,"Fieldstone marker, no inscription"
Leal,Guadalupe,08/16/1878,06/18/1921,Sunset Memorial Park,"San Antonio, Bexar County, Texas",Sisters',168,
Dignowity,Lillie,03/13/1886,12/13/1965,Masonic Cemetery,"San Antonio, Bexar County, Texas",Sisters',127,Wife of William
Menger,August,03/14/1871,09/18/1927,Alamo Masonic Cemetery,"San Antonio, Bexar County, Texas",Sisters',139,
Dignowity,Benjamin,05/14/1921,02/24/1991,City Cemetery No. 1,"San Antonio, Bexar County, Texas",New Section,307,Born in Pennsylvania
Gawlik,Stefan,03/03/1933,07/09/1981,Fort Sam Houston National Cemetery,"San Antonio, Bexar County, Texas",C,138,Headstone broken
Kalteyer,Frederick,03/10/1897,07/11/1928,St. John's Lutheran Cemetery,"San Antonio, Bexar County, Texas",New Section,316,
Beckmann,Mathilde,08/11/1948,07/11/1990,Confederate Cemetery,"San Antonio, Bexar County, Texas",E,165,Iron fence enclosure
Henderson,Lillie,10/07/1864,11/25/1905,Sunset Memorial Park,"San Antonio, Bexar County, Texas",E,419,Born in Louisiana
Cassiano,Soledad,03/21/1930,04/09/1967,City Cemetery No. 1,"San Antonio, Bexar County, Texas",Children's,435,Born in Canary Islands
Montalvo,Guadalupe,09/02/1958,12/26/1997,St. John's Lutheran Cemetery,"San Antonio, Bexar County, Texas",New Section,206,"Fieldstone marker, no inscription"
French,Earl,06/26/1927,02/01/1958,Alamo Masonic Cemetery,"San Antonio, Bexar County, Texas",C,332,Iron fence enclosure
Villarreal,Alejandro,06/01/1815,02/10/1865,Holy Cross Cemetery,"San Antonio, Bexar County, Texas",Sisters',348,Confederate veteran
Dziuk,Andrzej,09/16/1896,08/04/1989,Confederate Cemetery,"San Antonio, Bexar County, Texas",F,160,Headstone broken
Scott,Sarah,11/04/1902,12/08/1940,San Fernando Cemetery No. 2,"San Antonio, Bexar County, Texas",Sisters',364,
Bustillo,Domingo,03/21/1922,07/01/1976,Holy Cross Cemetery,"San Antonio, Bexar County, Texas",D,409,Inscription partially illegible
Nowak,Katarzyna,10/04/1947,06/11/1947,Mission Burial Ground,"San Antonio, Bexar County, Texas",B,386,Infant
Sanchez,Trinidad,06/12/1840,10/06/1921,San Jose Burial Ground,"San Antonio, Bexar County, Texas",New Section,199,Iron fence enclosure
Bednarz,Jozef,09/13/1866,10/05/1881,Odd Fellows Rest Cemetery,"San Antonio, Bexar County, Texas",E,60,
Fink,Hugo,03/11/1937,10/02/1982,Fort Sam Houston National Cemetery,"San Antonio, Bexar County, Texas",Old Section,86,Shared marker with spouse
Bednarz,Jadwiga,08/06/1881,10/01/1930,St. John's Lutheran Cemetery,"San Antonio, Bexar County, Texas",G,351,Shared marker with spouse
Koehler,Luise,09/17/1846,10/04/1882,Fort Sam Houston National Cemetery,"San Antonio, Bexar County, Texas",Sisters',235,Confederate veteran
Freeman,Mary,12/27/1858,05/28/1950,Holy Cross Cemetery,"San Antonio, Bexar County, Texas",Old Section,112,
Seguin,Soledad,12/20/1798,03/20/1813,Odd Fellows Rest Cemetery,"San Antonio, Bexar County, Texas",D,416,Wife of Pablo
Parker,John,06/23/1825,05/19/1897,Alamo Masonic Cemetery,"San Antonio, Bexar County, Texas",Old Section,144,Confederate veteran
Bednarz,Michal,04/05/1858,04/25/1910,San Fernando Cemetery No. 2,"San Antonio, Bexar County, Texas",E,444,Husband of Franciszka
Mitchell,Virginia,09/24/1890,12/12/1938,Holy Cross Cemetery,"San Antonio, Bexar County, Texas",B,325,Born in Tennessee
Moczygemba,Tekla,02/26/1906,04/14/1999,City Cemetery No. 1,"San Antonio, Bexar County, Texas",Priests',498,Shared marker with spouse
