"Full Name","Birth Date","Death Date","Cemetery Name","Section","Plot","Inscription"
"Héctor Domínguez","10/20/1785","08/11/1853","National Cemetery (Fort Sam Houston)","I","73",""
"Helen Harris","01/18/1836","12/02/1868","San Fernando Cemetery No. 2","I","165",""
"Ida Roberts","03/21/1822","12/17/1861","San Fernando Cemetery No. 2","Q","115",""
"Nora Flanagan","06/17/1813","03/02/1900","San Fernando Cemetery No. 1","P","68",""
"Louisa Krüger","04/12/1834","07/10/1874","Confederate Cemetery","A","3",""
"Feliciano Ramírez","09/04/1887","12/11/1920","Mission Burial Park","N","18",""
"Brigid Gallagher","02/02/1782","05/22/1852","San Fernando Cemetery No. 1","O","155","Gone but not forgotten"
"Wilhelm Fischer","03/15/1780","09/08/1866","San Fernando Cemetery No. 1","A","23",""
"Carmen Chávez","01/21/1822","06/03/1858","City Cemetery No. 1","R","184",""
"Gustav Schulz","05/13/1901","12/25/1954","Mission Burial Park","B","79",""
"Aoife Sullivan","01/04/1890","11/10/1959","National Cemetery (Fort Sam Houston)","C","86",""
"Henry Baker","05/08/1850","08/28/1889","City Cemetery No. 1","R","108","Descanse en paz"
"Concepción Pérez","11/06/1867","11/05/1945","Confederate Cemetery","O","1",""
"Lillie Roberts","03/28/1823","12/26/1894","San Fernando Cemetery No. 2","I","20",""
"Ida Steinemann","10/10/1865","08/17/1919","Confederate Cemetery","O","21",""
"Louisa Mueller","05/17/1769","07/04/1854","National Cemetery (Fort Sam Houston)","P","78",""
"Carlos Morales","12/25/1816","01/10/1889","Confederate Cemetery","R","40",""
"Agustín Chávez","03/12/1892","05/20/1957","City Cemetery No. 1","S","45","Auf Wiedersehen"
"Elena Hernández","04/18/1865","02/04/1948","National Cemetery (Fort Sam Houston)","C","136","Called home too soon"
"Hermann Schäfer","09/28/1822","06/22/1878","National Cemetery (Fort Sam Houston)","Z","46",""
"Ramona Domínguez","05/28/1847","01/13/1918","San Fernando Cemetery No. 1","L","26",""
"Esperanza Treviño","02/26/1834","04/22/1889","Mission Burial Park","F","64",""
"Ludwig Braun","04/16/1925","09/14/1945","San Fernando Cemetery No. 2","D","183",""
"Guadalupe Díaz","02/20/1825","01/23/1870","Confederate Cemetery","R","152",""
"Josefa Castillo","08/27/1796","01/07/1854","San Fernando Cemetery No. 1","H","28",""
"Guadalupe Domínguez","03/25/1786","12/04/1855","City Cemetery No. 1","V","184",""
"Remedios Ortiz","11/15/1806","10/21/1862","National Cemetery (Fort Sam Houston)","K","94",""
"Angela Garza","12/04/1837","06/17/1878","San Fernando Cemetery No. 1","P","43",""
"Louisa Baker","10/25/1771","08/05/1850","San Fernando Cemetery No. 1","W","59",""
"María Sánchez","03/07/1910","10/16/1949","Mission Burial Park","T","195",""
"Catalina Sánchez","04/02/1855","04/16/1918","Confederate Cemetery","N","144",""
"Ramona Moreno","06/26/1830","01/22/1920","City Cemetery No. 1","O","129","Until we meet again"
"Hilda Becker","03/06/1882","03/07/1952","San Fernando Cemetery No. 1","M","150","Auf Wiedersehen"
"Ida Thomas","11/16/1888","08/09/1958","San Fernando Cemetery No. 1","M","114",""
"Karl Schulz","02/11/1885","06/23/1923","San Fernando Cemetery No. 1","X","30",""
"Lillie Williams","04/12/1803","08/01/1850","San Fernando Cemetery No. 1","U","134",""
"Dolores Sánchez","10/05/1881","09/28/1929","City Cemetery No. 1","R","75",""
"Francisco Chávez","06/28/1905","02/27/1926","San Fernando Cemetery No. 2","B","38","Beloved husband and father"
"Eugene Jackson","04/22/1888","05/13/1939","National Cemetery (Fort Sam Houston)","K","60",""
"José Sánchez","05/25/1874","05/16/1947","San Fernando Cemetery No. 2","P","130",""
"Frieda Koch","06/24/1847","04/18/1910","San Fernando Cemetery No. 1","E","140",""
"Bessie Nelson","10/16/1795","03/08/1862","National Cemetery (Fort Sam Houston)","D","88",""
"John Adams","04/24/1895","10/15/1935","Confederate Cemetery","A","40",""
"Frank Adams","08/05/1806","07/25/1885","San Fernando Cemetery No. 1","L","17",""
"Aurelio Ramos","11/16/1812","06/13/1865","National Cemetery (Fort Sam Houston)","U","193",""
"Rosa Herrera","01/25/1803","05/08/1890","San Fernando Cemetery No. 2","O","76",""
"Gertrud Lange","01/06/1839","11/06/1908","National Cemetery (Fort Sam Houston)","F","86",""
"Clara Meyer","05/02/1821","03/18/1907","Confederate Cemetery","N","110",""
"Emil Hartmann","12/07/1848","03/16/1876","City Cemetery No. 1","G","187",""
"Bertha Bauer","07/24/1840","03/07/1927","National Cemetery (Fort Sam Houston)","P","156","At rest with the Lord"
"Else Richter","01/23/1883","11/08/1925","City Cemetery No. 1","Y","95",""
"José Torres","12/03/1837","04/19/1910","City Cemetery No. 1","T","116",""
"Miguel Salinas","09/20/1822","08/02/1902","Confederate Cemetery","P","182",""
"Heinrich Zimmermann","05/05/1853","01/08/1940","San Fernando Cemetery No. 2","P","54",""
"Elvira Morales","03/21/1831","01/23/1873","San Fernando Cemetery No. 2","P","27","Beloved husband and father"
"Harriet White","07/06/1894","02/16/1927","San Fernando Cemetery No. 1","Y","76","En la memoria de todos"
"Andrés Molina","06/06/1899","09/08/1923","San Fernando Cemetery No. 1","N","149","Siempre en nuestros corazones"
"María Rivera","01/04/1855","07/19/1945","City Cemetery No. 1","F","174",""
"Héctor Martínez","04/26/1837","08/15/1859","San Fernando Cemetery No. 1","M","50",""
"Mary Johnson","03/14/1841","10/07/1887","Confederate Cemetery","F","65",""
"Francisco Medina","07/08/1794","10/09/1870","National Cemetery (Fort Sam Houston)","A","139",""
"Bessie Moore","06/04/1767","03/12/1857","Mission Burial Park","T","57",""
"Otto Schmitt","03/19/1882","03/18/1913","San Fernando Cemetery No. 1","M","57",""
"Colm McCarthy","12/14/1829","01/05/1904","Confederate Cemetery","M","166",""
"Eugene Wright","05/20/1806","06/07/1888","Mission Burial Park","U","151",""
"Andrés Chávez","06/25/1805","01/14/1888","Confederate Cemetery","A","44","At rest with the Lord"
"Pearl Carter","03/06/1933","03/20/1958","San Fernando Cemetery No. 1","L","199",""
"Harold Johnson","10/08/1861","05/18/1885","San Fernando Cemetery No. 2","F","90",""
"Pedro Cruz","06/21/1856","02/02/1895","City Cemetery No. 1","L","16","Called home too soon"
"Ramona González","09/26/1794","07/19/1878","National Cemetery (Fort Sam Houston)","J","178",""
"Mabel Miller","07/06/1819","05/28/1870","National Cemetery (Fort Sam Houston)","N","34","En la memoria de todos"
"Gerhard Krüger","05/03/1825","02/05/1879","San Fernando Cemetery No. 2","S","15",""
"Gustav Weidemann","01/04/1891","10/20/1928","San Fernando Cemetery No. 2","H","128",""
"Hans Bauer","07/06/1864","03/03/1885","National Cemetery (Fort Sam Houston)","Y","69",""
"Bessie King","03/13/1915","02/19/1951","Confederate Cemetery","C","180",""
"Ernesto Ramírez","03/22/1844","05/16/1904","National Cemetery (Fort Sam Houston)","U","103",""
"James Perez","04/01/1852","07/04/1929","San Fernando Cemetery No. 1","S","152","En la memoria de todos"
"Carmen Castillo","02/12/1824","04/06/1857","Mission Burial Park","H","85",""
"Eusebio Ramírez","05/08/1829","10/21/1862","Mission Burial Park","B","133",""
"Johann Hoffmann","12/24/1842","10/05/1909","City Cemetery No. 1","E","40",""
"Lupe Salinas","10/06/1905","09/26/1939","Mission Burial Park","A","78",""
"Ignacio Vásquez","04/25/1910","10/07/1956","San Fernando Cemetery No. 2","S","151",""
"Bernardo López","11/10/1782","06/15/1871","Confederate Cemetery","I","15",""
"Adolph Werner","03/25/1828","09/07/1917","City Cemetery No. 1","W","112",""
"Otto Mueller","08/05/1874","09/09/1944","Mission Burial Park","S","200","Hier ruht in Gott"
"Bessie Baker","03/18/1827","02/26/1897","San Fernando Cemetery No. 2","F","47",""
"Pedro Cantu","03/25/1872","11/21/1943","City Cemetery No. 1","O","45",""
"George Wright","03/08/1810","02/28/1851","City Cemetery No. 1","C","74",""
"José Domínguez","01/05/1824","03/27/1900","Confederate Cemetery","M","1",""
"Guadalupe Treviño","08/27/1877","04/06/1905","City Cemetery No. 1","U","11","Called home too soon"
"Felicitas Hernández","04/18/1856","04/08/1923","National Cemetery (Fort Sam Houston)","F","35","Con Dios"
"Charles Jackson","07/01/1934","01/23/1959","National Cemetery (Fort Sam Houston)","E","119",""
"Ernesto Sánchez","08/14/1910","12/14/1937","San Fernando Cemetery No. 2","M","73",""
"Mary Smith","03/07/1844","06/08/1923","City Cemetery No. 1","N","24",""
"Ramón Sánchez","02/01/1804","04/26/1876","Mission Burial Park","Z","159",""
"Eileen Kelly","06/09/1806","12/04/1875","City Cemetery No. 1","D","192","Until we meet again"
"Emil Neumann","07/28/1872","08/14/1896","Mission Burial Park","G","65",""
"Liam Flanagan","06/04/1843","02/16/1904","National Cemetery (Fort Sam Houston)","R","113","Beloved husband and father"
"Lena Zimmermann","01/06/1831","03/10/1874","City Cemetery No. 1","R","57",""
"Feliciano Herrera","07/25/1807","04/09/1871","City Cemetery No. 1","Z","51",""
"Tomás García","09/12/1814","06/28/1871","Mission Burial Park","H","97",""
"Wilhelm Hoffmann","09/14/1893","08/06/1938","Mission Burial Park","W","69","At rest with the Lord"
"Concepción Reyes","08/24/1854","06/21/1914","City Cemetery No. 1","F","24",""
"Tomás Martínez","08/18/1908","01/19/1956","San Fernando Cemetery No. 1","I","173",""
"Walter Baker","09/17/1784","05/08/1862","City Cemetery No. 1","I","55",""
"Andrés Medina","07/09/1893","11/28/1957","Confederate Cemetery","O","34",""
"Andrés Rodríguez","09/12/1866","11/10/1897","National Cemetery (Fort Sam Houston)","X","156",""
"Catalina Flores","05/11/1837","02/01/1923","San Fernando Cemetery No. 1","W","117",""
"Elena Cruz","01/11/1822","07/25/1896","San Fernando Cemetery No. 1","H","181",""
"Bruno Schulz","11/15/1796","01/13/1877","Mission Burial Park","G","6",""
"Thomas Young","07/14/1824","03/24/1867","Confederate Cemetery","S","165",""
"Aurelio Medina","06/07/1840","11/17/1915","National Cemetery (Fort Sam Houston)","Y","85",""
"Catalina Morales","11/27/1865","07/07/1923","San Fernando Cemetery No. 2","W","132",""
"Sophie Richter","11/11/1793","12/28/1853","San Fernando Cemetery No. 1","V","164",""
"Albert Johnson","12/25/1809","11/28/1883","San Fernando Cemetery No. 1","R","103",""
"Ernst Wagner","07/25/1929","01/25/1957","San Fernando Cemetery No. 2","S","174",""
"Florencio Rivera","11/19/1918","09/27/1948","National Cemetery (Fort Sam Houston)","F","126","In loving memory"
"Feliciano Morales","08/24/1917","04/15/1948","San Fernando Cemetery No. 1","R","109",""
"Ernesto Moreno","11/22/1782","01/07/1870","San Fernando Cemetery No. 2","C","173",""
"Luz Martínez","08/01/1791","05/12/1864","Confederate Cemetery","T","46","Im Frieden des Herrn"
"Anna Bauer","05/08/1843","10/17/1883","National Cemetery (Fort Sam Houston)","Q","191",""
"Guadalupe Torres","08/24/1921","12/22/1950","National Cemetery (Fort Sam Houston)","D","107",""
"Luz Vásquez","11/04/1884","05/22/1932","City Cemetery No. 1","U","136",""
"Elizabeth Brown","10/24/1846","11/28/1898","Mission Burial Park","E","168",""
"Guadalupe González","07/21/1825","08/02/1864","City Cemetery No. 1","B","115",""
"Gerhard Schmidt","08/06/1888","11/28/1916","Confederate Cemetery","E","136","Descanse en paz"
"Hilda Gruenewald","11/28/1865","09/11/1888","San Fernando Cemetery No. 1","O","38",""
"Fiona Kelly","02/03/1877","11/15/1932","Confederate Cemetery","R","1",""
"Juana Vásquez","07/13/1879","02/06/1959","San Fernando Cemetery No. 2","A","143","In loving memory"
"Rosa Ramos","07/07/1815","11/25/1857","Mission Burial Park","I","72",""
"Otto Krüger","01/03/1800","06/17/1882","San Fernando Cemetery No. 2","A","189",""
"Alice Taylor","07/20/1823","11/12/1870","San Fernando Cemetery No. 1","S","24",""
"Rafael Cruz","10/15/1797","03/18/1851","Confederate Cemetery","W","16",""
"James Jones","06/05/1878","05/08/1946","Mission Burial Park","J","11",""
"Edward Thompson","08/26/1858","02/23/1946","City Cemetery No. 1","Y","72",""
"Ethel Carter","06/28/1880","09/05/1915","Mission Burial Park","S","116",""
"Isidro Molina","04/14/1866","03/07/1902","San Fernando Cemetery No. 1","M","104",""
"Else Klein","06/19/1850","10/03/1886","City Cemetery No. 1","S","125",""
"Emilie Meyer","10/17/1902","01/09/1945","Confederate Cemetery","F","43",""
"Francisca Domínguez","03/07/1828","02/15/1900","City Cemetery No. 1","M","157",""
"Alice Allen","04/07/1854","10/26/1944","City Cemetery No. 1","Y","142",""
"Remedios Ramos","06/25/1897","08/15/1940","Confederate Cemetery","A","78","Ruhe in Frieden"
"Ramona Ortiz","04/20/1866","04/04/1927","National Cemetery (Fort Sam Houston)","X","49",""
"Carmen Molina","05/10/1823","01/01/1851","San Fernando Cemetery No. 1","U","169",""
"Juana Rodríguez","01/28/1902","05/24/1951","City Cemetery No. 1","X","145","Hier ruht in Gott"
"Florencio Herrera","08/05/1802","03/21/1891","San Fernando Cemetery No. 1","S","157",""
"Lillie Taylor","05/01/1833","12/26/1870","City Cemetery No. 1","T","182",""
"Jesús Reyes","07/20/1779","10/16/1853","San Fernando Cemetery No. 1","T","67",""
"Teresa González","03/01/1845","06/13/1933","San Fernando Cemetery No. 1","P","169",""
"Juana Domínguez","10/11/1827","02/17/1902","Confederate Cemetery","E","194",""
"Hilda Steinemann","05/16/1907","01/10/1958","City Cemetery No. 1","D","182","Called home too soon"
"Sophie Hartmann","02/01/1858","06/28/1929","San Fernando Cemetery No. 1","P","126",""
"Margarita López","01/05/1836","07/03/1878","Mission Burial Park","K","160",""
"Pearl Miller","08/02/1870","08/07/1916","San Fernando Cemetery No. 2","J","188","Hier ruht in Gott"
"Angela Moreno","08/14/1866","10/01/1920","San Fernando Cemetery No. 1","O","192",""
"Ramón Salinas","07/11/1778","01/23/1858","San Fernando Cemetery No. 1","Y","194",""
"Hedwig Steinemann","12/08/1868","06/03/1949","Mission Burial Park","F","138",""
"Miguel Ortiz","09/26/1825","10/27/1854","City Cemetery No. 1","Q","1",""
"Elvira Pérez","12/26/1837","08/09/1891","National Cemetery (Fort Sam Houston)","M","172",""
"Francisca López","01/02/1852","08/27/1932","City Cemetery No. 1","A","151",""
"Elena Salinas","01/25/1834","02/18/1889","San Fernando Cemetery No. 2","T","183",""
"James Scott","03/25/1806","10/13/1876","Mission Burial Park","X","11",""
"Eugene Jackson","11/15/1915","05/21/1937","National Cemetery (Fort Sam Houston)","R","4","Im Frieden des Herrn"
"Heinrich Bergmann","12/20/1823","05/23/1898","San Fernando Cemetery No. 2","G","185",""
"Guadalupe Díaz","01/17/1874","08/10/1927","National Cemetery (Fort Sam Houston)","B","196",""
"Eusebio Fuentes","11/23/1830","10/06/1855","San Fernando Cemetery No. 1","T","180",""
"Grace Mitchell","11/28/1833","02/03/1878","San Fernando Cemetery No. 2","Z","100",""
"Gerhard Koch","07/08/1881","01/11/1921","San Fernando Cemetery No. 2","V","31","Auf Wiedersehen"
"Brendan Kelly","11/01/1772","06/08/1852","Confederate Cemetery","P","70",""
"Wilhelm Steinemann","11/07/1881","11/22/1918","San Fernando Cemetery No. 1","O","193","Auf Wiedersehen"
"Pearl Anderson","07/26/1889","04/19/1943","Confederate Cemetery","Z","100",""
"Hermann Koch","06/08/1919","10/13/1939","San Fernando Cemetery No. 1","E","192",""
"Carmen Treviño","04/13/1892","09/15/1912","National Cemetery (Fort Sam Houston)","M","13",""
"Guadalupe Molina","06/02/1879","04/14/1900","San Fernando Cemetery No. 2","X","136",""
"Franz Gruenewald","01/28/1816","10/18/1851","San Fernando Cemetery No. 2","S","12",""
"Elvira Cruz","03/01/1865","01/05/1931","National Cemetery (Fort Sam Houston)","I","87","Rest in peace"
"Louisa Zimmermann","04/28/1843","12/20/1909","San Fernando Cemetery No. 1","S","167",""
"Juana Chávez","06/27/1776","03/28/1855","Confederate Cemetery","J","170",""
"Fiona Kelly","12/10/1799","06/10/1855","City Cemetery No. 1","H","132","En la memoria de todos"
"Gerhard Braun","09/07/1835","06/21/1899","City Cemetery No. 1","J","196",""
"Esperanza Treviño","01/11/1786","02/16/1869","Mission Burial Park","N","98","Descanse en paz"
"Johann Schäfer","01/10/1842","07/01/1919","Confederate Cemetery","U","40",""
"Bertha Becker","06/01/1811","02/12/1895","San Fernando Cemetery No. 1","L","51",""
"Eusebio Hernández","06/14/1872","08/26/1904","San Fernando Cemetery No. 1","L","135",""
"Carlos Gutiérrez","05/15/1798","04/08/1859","National Cemetery (Fort Sam Houston)","I","15",""
"Nellie Miller","12/15/1802","11/26/1862","National Cemetery (Fort Sam Houston)","B","82",""
"William Adams","07/14/1844","09/21/1932","Mission Burial Park","J","184",""
"Francisco Cruz","05/21/1791","06/23/1874","Mission Burial Park","R","118",""
"Angela López","08/26/1867","03/08/1948","Mission Burial Park","C","139",""
"Emma Allen","07/16/1807","03/01/1873","San Fernando Cemetery No. 2","G","49",""
"Arthur Miller","10/28/1904","11/05/1950","Confederate Cemetery","J","67","En la memoria de todos"
"Felicitas Flores","07/20/1876","07/26/1954","National Cemetery (Fort Sam Houston)","U","48",""
"Harold Roberts","06/21/1852","03/08/1940","San Fernando Cemetery No. 2","B","35",""
"Franz Lange","04/25/1806","02/14/1850","San Fernando Cemetery No. 2","Q","72",""
"Gregorio Rodríguez","10/01/1888","10/17/1927","Mission Burial Park","P","85",""
"Lupe Garza","06/14/1790","07/02/1866","National Cemetery (Fort Sam Houston)","W","156",""
"Michael O'Brien","05/08/1780","12/27/1850","San Fernando Cemetery No. 2","V","40","Descanse en paz"
"Alice Roberts","08/07/1787","08/15/1866","San Fernando Cemetery No. 2","C","107",""
"Aoife Connelly","08/01/1865","12/16/1888","San Fernando Cemetery No. 2","R","93","Auf Wiedersehen"
"Concepción Flores","03/21/1871","09/26/1929","City Cemetery No. 1","C","187",""
"Grace Baker","01/22/1802","03/16/1856","Mission Burial Park","N","122",""
"Guadalupe Domínguez","07/27/1847","06/19/1867","San Fernando Cemetery No. 2","A","11",""
"Frank Wright","07/24/1905","07/26/1958","San Fernando Cemetery No. 1","J","147",""
"Hans Becker","12/19/1781","09/07/1863","National Cemetery (Fort Sam Houston)","W","72",""
"Juana Chávez","06/01/1794","10/24/1854","City Cemetery No. 1","T","180",""
"Walter Taylor","10/09/1829","03/05/1877","Confederate Cemetery","D","34","En la memoria de todos"
"Ida Nelson","06/20/1900","02/22/1933","City Cemetery No. 1","R","87",""
"Otto Hartmann","03/07/1867","07/24/1907","National Cemetery (Fort Sam Houston)","Q","181",""
"Luz Flores","12/17/1814","07/23/1893","Mission Burial Park","P","17",""
"Bertha Becker","11/16/1818","09/21/1907","San Fernando Cemetery No. 1","K","169",""
"Remedios López","12/24/1854","12/03/1899","City Cemetery No. 1","S","165",""
"Frederick King","11/11/1895","05/13/1918","National Cemetery (Fort Sam Houston)","N","176",""
"Joseph Miller","10/28/1916","09/08/1936","Confederate Cemetery","E","52",""
"John Allen","07/05/1799","07/03/1868","San Fernando Cemetery No. 1","D","108",""
"Louisa White","07/11/1799","06/16/1885","City Cemetery No. 1","Y","195",""
"Pedro Ortiz","01/02/1890","07/09/1910","Confederate Cemetery","Q","115",""
"Else Steinemann","06/03/1839","05/22/1866","Confederate Cemetery","M","91",""
"Carlos Gutiérrez","10/20/1798","02/25/1883","Confederate Cemetery","J","2","Rest in peace"
"Gerhard Klein","06/27/1803","09/25/1852","Confederate Cemetery","B","187","At rest with the Lord"
"Marta Bergmann","03/07/1875","05/26/1929","National Cemetery (Fort Sam Houston)","U","106","Gone but not forgotten"
"Guadalupe Reyes","12/03/1798","10/25/1853","San Fernando Cemetery No. 2","I","172",""
"Helene Gruenewald","10/16/1845","08/20/1927","San Fernando Cemetery No. 2","I","87",""
"Margarita Vásquez","05/11/1907","05/17/1928","San Fernando Cemetery No. 1","O","53",""
"Harriet Taylor","08/21/1854","01/19/1915","Mission Burial Park","H","147",""
"Agustín González","03/23/1847","11/14/1867","National Cemetery (Fort Sam Houston)","I","70","Gone but not forgotten"
"Brigid Flanagan","06/17/1880","10/25/1917","City Cemetery No. 1","T","5",""
"Consuelo Pérez","08/10/1844","12/15/1922","National Cemetery (Fort Sam Houston)","N","118",""
"Samuel Williams","11/17/1861","07/24/1915","Mission Burial Park","F","52","Que en paz descanse"
"Juana Salinas","12/17/1880","11/17/1950","City Cemetery No. 1","D","147",""
"George Perez","12/18/1838","01/24/1904","Confederate Cemetery","W","160",""
"Conrad Schäfer","04/23/1840","04/04/1916","San Fernando Cemetery No. 1","M","104","Siempre en nuestros corazones"
"Michael Kennedy","08/18/1830","09/26/1861","National Cemetery (Fort Sam Houston)","E","76",""
"Bessie Allen","10/27/1799","07/20/1889","San Fernando Cemetery No. 1","N","40",""
"Agustín Fuentes","10/01/1781","08/20/1865","San Fernando Cemetery No. 2","F","59",""
"Beatriz Chávez","11/21/1801","05/28/1890","Confederate Cemetery","B","172",""
"August Zimmermann","11/26/1862","12/09/1891","Confederate Cemetery","N","128",""
"Gerhard Schwarz","12/07/1852","11/02/1929","Confederate Cemetery","Q","17",""
"Wilhelm Schwarz","10/25/1839","05/12/1924","Mission Burial Park","U","100","En la memoria de todos"
"Aurelio Medina","03/01/1880","04/17/1902","Mission Burial Park","P","103","Called home too soon"
