"Name","Occupation","Address","Directory Year","Spouse Name"
"Agustín Medina","baker","515 Santa Rosa St","1910",""
"Johann Hartmann","merchant","283 Soledad St","1915","Florence Miller"
"Colm McCarthy","laborer","851 Flores St","1915","Anna Richter"
"Karl Steinemann","blacksmith","923 Market St","1901","Nellie Brown"
"José Cruz","druggist","845 Market St","1915","Elizabeth Scott"
"Patrick Connelly","butcher","160 Market St","1905",""
"Eamon Brennan","laborer","314 Navarro St","1905","Augusta Werner"
"Henry Young","merchant","149 Flores St","1891",""
"Hermann Schroeder","stockman","382 Navarro St","1905","Bridget Gallagher"
"Conrad Hartmann","stockman","1027 Alamo Plaza","1881","Edith Scott"
"Gregorio Sánchez","tailor","776 Houston St","1905","Catalina Rivera"
"Miguel Garza","teamster","165 Commerce St","1920","Helene Schroeder"
"George Smith","merchant","819 Market St","1925","Frieda Werner"
"Bruno Zimmermann","farmer","216 Market St","1885","Alice Wilson"
"Rafael Ortiz","teacher","503 Soledad St","1920","Florence Wright"
"George Scott","saloon keeper","507 Commerce St","1885","Wilhelmine Schulz"
"Ernst Richter","blacksmith","589 Alamo Plaza","1885",""
"Frederick Smith","physician","1090 Soledad St","1895","Katharina Mueller"
"Bruno Weber","carpenter","162 Laredo St","1925",""
"Eusebio Herrera","tailor","879 Laredo St","1915","Dolores Moreno"
"Ernst Werner","attorney","818 Laredo St","1915","Helene Hartmann"
"Feliciano González","teacher","505 Flores St","1881","Beatriz Salinas"
"José Salinas","merchant","551 Navarro St","1901","Emma Jackson"
"Eusebio Fuentes","printer","689 Market St","1925",""
"Hermann Klein","laborer","819 Navarro St","1877","Bertha Lehmann"
"Friedrich Wagner","barber","583 Alamo Plaza","1885","Bertha Bergmann"
"Bruno Wolf","farmer","366 Alamo Plaza","1920","Teresa Herrera"
"Manuel García","laborer","585 Soledad St","1877","Helen Thomas"
"Gerhard Zimmermann","baker","877 Soledad St","1901",""
"Bruno Hartmann","blacksmith","1004 Houston St","1891",""
"Pedro Torres","printer","697 Soledad St","1885",""
"Andrés Moreno","teacher","545 Alamo Plaza","1881",""
"Charles Adams","merchant","225 Commerce St","1895",""
"Jesús Vásquez","farmer","488 Commerce St","1885","Mathilde Koch"
"Arthur Wright","laborer","154 Alamo Plaza","1877",""
"Juan Martínez","laborer","766 Market St","1905","Petra García"
"Otto Schulz","carpenter","644 Navarro St","1915","Catalina Cruz"
"Ramón Cantu","tailor","370 Laredo St","1905","Teresa Herrera"
"Ramón Rivera","druggist","380 Laredo St","1925","Clara Schroeder"
"Liam Burke","printer","281 Navarro St","1920","María Reyes"
"Dermot Doyle","butcher","735 Houston St","1895","Mary Brown"
"Aurelio Fuentes","printer","732 Alamo Plaza","1920","Edith Baker"
"Thomas Thompson","minister","623 Alamo Plaza","1915",""
"Andrés Treviño","tailor","554 Santa Rosa St","1877","Gertrud Meyer"
"Feliciano López","merchant","687 Houston St","1905","Louisa Lange"
"Rafael Cantu","minister","930 Soledad St","1915",""
"Henry Mitchell","clerk","347 Santa Rosa St","1910","Marta Werner"
"Gerhard Schwarz","stockman","672 Alamo Plaza","1891",""
"Carlos García","clerk","241 Flores St","1920","Petra Rodríguez"
"Agustín Vásquez","teacher","886 Alamo Plaza","1885","Felicitas Rivera"
"Dermot Kennedy","tailor","349 Market St","1925","Katharina Koch"
"Heinrich Schroeder","clerk","1044 Soledad St","1915","Florence Harris"
"Rafael Ortiz","physician","873 Houston St","1910","Guadalupe Domínguez"
"Samuel Taylor","teamster","105 Flores St","1910","Helene Hartmann"
"José Torres","stockman","1032 Commerce St","1877",""
"William Brown","farmer","978 Soledad St","1915","Edith Jones"
"Clarence Jackson","minister","1144 Commerce St","1877",""
"Karl Schäfer","stockman","715 Santa Rosa St","1925",""
"Jesús Ortiz","blacksmith","239 Alamo Plaza","1895",""
"Antonio Domínguez","merchant","969 Houston St","1891",""
"Eusebio Sánchez","teamster","424 Market St","1885",""
"Walter Wolf","stockman","393 Navarro St","1925","Ida Werner"
"Adolph Zimmermann","saloon keeper","913 Navarro St","1910","Louisa Thomas"
"Eusebio Medina","carpenter","264 Santa Rosa St","1920",""
"Ludwig Lange","stockman","332 Santa Rosa St","1910","Wilhelmine Schroeder"
"August Hoffmann","barber","412 Flores St","1910",""
"Ernesto Sánchez","attorney","953 Houston St","1901",""
"Charles Jackson","saloon keeper","197 Laredo St","1905","Emilie Hartmann"
"Friedrich Schroeder","saloon keeper","759 Flores St","1885",""
"Agustín Cruz","clerk","672 Market St","1920",""
"Antonio Cruz","blacksmith","684 Houston St","1895","Louisa Jones"
"Carlos Garza","carpenter","614 Navarro St","1895","Nellie Johnson"
"Eusebio Vásquez","minister","359 Commerce St","1901","Beatriz Rodríguez"
"Luis Ramírez","printer","484 Soledad St","1920","Louisa Gruenewald"
"Robert Harris","merchant","958 Commerce St","1910","Sarah Moore"
"Conrad Richter","saloon keeper","392 Navarro St","1905",""
"Agustín González","attorney","369 Soledad St","1885","Angela Ramos"
"Johann Schmitt","blacksmith","315 Laredo St","1877","Concepción Molina"
"José Pérez","laborer","1066 Houston St","1910","Amparo Moreno"
"George Harris","merchant","655 Navarro St","1881","Felicitas Herrera"
"Aurelio Domínguez","laborer","806 Flores St","1881","Soledad Molina"
"Gregorio Vásquez","druggist","136 Soledad St","1901","Felicitas Domínguez"
"George Thompson","baker","566 Flores St","1925",""
"Ludwig Braun","laborer","237 Santa Rosa St","1910",""
"William Carter","teacher","941 Navarro St","1901",""
"Francisco Reyes","attorney","340 Houston St","1885",""
"Wilhelm Klein","saloon keeper","755 Soledad St","1910",""
"Ernst Bergmann","minister","140 Soledad St","1920","Mary Wilson"
"Miguel Reyes","teamster","336 Flores St","1881",""
"José Flores","barber","916 Laredo St","1877",""
"José Morales","farmer","755 Laredo St","1910","Sarah Taylor"
"Kieran Gallagher","clerk","902 Commerce St","1877","Petra Morales"
"Ignacio Castillo","merchant","1131 Market St","1881","Elena Rodríguez"
"Feliciano Ramírez","druggist","470 Navarro St","1925","Consuelo Ramos"
"Andrés López","butcher","305 Laredo St","1910",""
"Wilhelm Schäfer","teacher","1194 Houston St","1877","María Salinas"
"Frank Smith","barber","925 Houston St","1895","Petra Ramos"
"Gregorio Chávez","merchant","1085 Navarro St","1891","Elizabeth King"
"Juan Pérez","carpenter","671 Santa Rosa St","1920","Hedwig Bauer"
"Frederick Perez","stockman","672 Laredo St","1920","Katharina Hartmann"
"Carlos Molina","farmer","963 Houston St","1877",""
"Ramón Torres","clerk","529 Santa Rosa St","1925",""
"Rafael Morales","barber","748 Market St","1925","Beatriz González"
"Antonio Salinas","farmer","232 Santa Rosa St","1925",""
"Wilhelm Klein","butcher","837 Laredo St","1910","Ruth Young"
"Clarence Martin","carpenter","488 Commerce St","1915",""
"Clarence Miller","teamster","368 Commerce St","1877","Bertha Braun"
"Aurelio Vásquez","baker","999 Soledad St","1915",""
"Hermann Richter","barber","137 Flores St","1881","Harriet Roberts"
"José Morales","stockman","257 Soledad St","1925","Soledad García"
"Miguel Rodríguez","baker","112 Commerce St","1901",""
"Gregorio Díaz","saloon keeper","757 Santa Rosa St","1895",""
"Ernesto Rodríguez","physician","229 Laredo St","1915","Ruth Jackson"
"Feliciano Díaz","laborer","835 Laredo St","1925","Aoife Gallagher"
"Gregorio Reyes","baker","406 Soledad St","1925",""
"Frederick Miller","tailor","205 Soledad St","1885","Mary Moore"
"James Williams","attorney","740 Santa Rosa St","1920","Louisa Baker"
"Isidro Rivera","physician","729 Market St","1910",""
"Samuel Wright","laborer","745 Market St","1925","Ida Jackson"
"Richard Jones","minister","554 Santa Rosa St","1885","Carmen Vásquez"
"Adolph Meyer","carpenter","187 Commerce St","1910","Helene Becker"
"Agustín Cantu","barber","146 Soledad St","1895",""
"Carlos Torres","clerk","671 Navarro St","1877","Concepción Treviño"
"Richard Perez","barber","527 Navarro St","1920","Francisca García"
"Adolph Schmidt","clerk","905 Alamo Plaza","1901",""
"Karl Hoffmann","attorney","748 Navarro St","1920",""
"Richard White","carpenter","1052 Alamo Plaza","1877","Beatriz Herrera"
"Bruno Braun","teacher","1071 Navarro St","1905","Emma Thomas"
"George Martin","teamster","511 Laredo St","1895",""
"William Brown","printer","716 Soledad St","1915","Anna Bauer"
"Francisco Moreno","saloon keeper","202 Commerce St","1877",""
"Florencio Salinas","stockman","1035 Santa Rosa St","1885","Frieda Becker"
"Pedro Martínez","attorney","1027 Navarro St","1925","Ramona Treviño"
"Ernst Hartmann","physician","100 Houston St","1905","Ruth Young"
"John Carter","tailor","164 Navarro St","1891","Clara Bauer"
"Gustav Fischer","farmer","367 Houston St","1895","Rosa Morales"
"Florencio Flores","farmer","901 Houston St","1901","María Hernández"
"Heinrich Wolf","teamster","1144 Laredo St","1920","Grace Harris"
"Wilhelm Mueller","butcher","475 Alamo Plaza","1901",""
"William Roberts","barber","1110 Market St","1920","Hedwig Krüger"
"Klaus Weidemann","laborer","507 Navarro St","1905",""
"Edward Martin","farmer","1050 Commerce St","1905","Harriet King"
"Jesús Ramírez","teamster","521 Santa Rosa St","1891",""
"George Baker","druggist","1131 Alamo Plaza","1885",""
"Isidro Medina","farmer","325 Flores St","1885",""
"Franz Bauer","blacksmith","910 Flores St","1881","Lupe Martínez"
"Samuel King","teamster","1166 Market St","1891","Alice Wright"
"Ludwig Schulz","minister","599 Houston St","1920","Nellie Moore"
"Carlos Martínez","tailor","375 Commerce St","1920",""
"Arthur King","druggist","1124 Flores St","1877","Juana Díaz"
"Gregorio Reyes","farmer","403 Commerce St","1905",""
"Antonio García","druggist","539 Santa Rosa St","1895","Rosa Morales"
"Guadalupe Salinas","barber","752 Alamo Plaza","1891","Guadalupe Morales"
"Karl Weber","stockman","945 Alamo Plaza","1877",""
"John Scott","clerk","861 Market St","1881","Pearl King"
"Pedro Gutiérrez","laborer","934 Soledad St","1925",""
"James Martin","farmer","547 Soledad St","1901","Margarita Garza"
"Carlos Torres","carpenter","917 Houston St","1920",""
"Frank Carter","minister","723 Houston St","1925","Concepción Ortiz"
"John White","druggist","716 Laredo St","1915",""
"Antonio Gutiérrez","merchant","1127 Santa Rosa St","1905",""
"Karl Steinemann","stockman","1009 Commerce St","1877","Hedwig Braun"
"James White","blacksmith","180 Alamo Plaza","1877",""
"Rafael Chávez","barber","1045 Market St","1885","Edith Thomas"
"Otto Krüger","physician","673 Soledad St","1901",""
"Héctor Salinas","saloon keeper","1034 Santa Rosa St","1915","Nellie King"
"Andrés Ramos","teamster","842 Houston St","1895","Louisa Smith"
"Ludwig Meyer","laborer","333 Alamo Plaza","1877",""
"Eamon Ryan","teacher","946 Commerce St","1877","Consuelo Rivera"
"Feliciano Pérez","saloon keeper","373 Commerce St","1895",""
"Ernst Lange","minister","771 Navarro St","1915","Catalina Rodríguez"
"Ludwig Klein","tailor","123 Commerce St","1891",""
"Carlos López","teacher","547 Navarro St","1881","Francisca González"
"Frank Green","teamster","403 Commerce St","1925","Margarita Domínguez"
"Walter Hartmann","laborer","587 Santa Rosa St","1905","Consuelo Martínez"
"Joseph Mitchell","blacksmith","1131 Commerce St","1891","Edith Thompson"
"Hans Schmitt","physician","422 Flores St","1891",""
"Eusebio Cantu","saloon keeper","1109 Market St","1901","Lillie King"
"Otto Wagner","minister","247 Santa Rosa St","1881","Mary King"
"Colm Murphy","barber","1062 Commerce St","1881","Emilie Gruenewald"
"Karl Wolf","minister","788 Flores St","1910","Maureen Brennan"
"Walter Brown","clerk","264 Laredo St","1910",""
"Edward Taylor","carpenter","807 Flores St","1901","Ramona Fuentes"
"Richard Mitchell","stockman","476 Soledad St","1915","Soledad Sánchez"
"Friedrich Lehmann","carpenter","470 Market St","1901","Gertrud Wolf"
"Richard Davis","butcher","639 Commerce St","1910","Grace Mitchell"
"Hans Fischer","teacher","320 Commerce St","1895","Alice Martin"
"Eusebio Ortiz","baker","984 Soledad St","1901","Luz Rivera"
"Hermann Neumann","laborer","964 Market St","1881","Olga Wagner"
"Johann Richter","attorney","499 Laredo St","1877",""
"Patrick Gallagher","baker","348 Houston St","1891",""
"Heinrich Hartmann","laborer","398 Alamo Plaza","1910",""
"Michael Kennedy","printer","621 Alamo Plaza","1901",""
"Andrés Fuentes","saloon keeper","471 Alamo Plaza","1891","Dolores Hernández"
"Henry Davis","teamster","818 Laredo St","1877","Mary King"
"Karl Werner","printer","291 Soledad St","1915","Francisca Torres"
"August Krüger","physician","1166 Houston St","1915","Elvira Salinas"
"Ignacio Chávez","saloon keeper","432 Santa Rosa St","1895",""
"Eugene Anderson","carpenter","413 Flores St","1881","Nellie Scott"
"Emil Gruenewald","clerk","1022 Soledad St","1885",""
"Agustín López","attorney","344 Flores St","1881","Frieda Bergmann"
"Francisco Herrera","merchant","714 Commerce St","1895",""
"Conrad Schulz","teamster","712 Santa Rosa St","1877","Amparo Ramos"
"Robert Johnson","teamster","595 Laredo St","1877",""
"Hermann Weber","tailor","365 Market St","1915",""
"Albert Martin","carpenter","910 Laredo St","1905","Ethel Williams"
"Emil Gruenewald","merchant","929 Soledad St","1915","Else Schwarz"
"Ludwig Hoffmann","clerk","687 Market St","1877",""
"Clarence Thompson","butcher","696 Market St","1891","Hilda Koch"
"Héctor Garza","laborer","1110 Flores St","1905",""
"Hermann Weber","druggist","855 Alamo Plaza","1901",""
"Guadalupe Morales","laborer","281 Houston St","1885","Frieda Schwarz"
"Adolph Mueller","butcher","539 Soledad St","1901",""
"Gustav Klein","minister","1106 Laredo St","1881","Francisca Rivera"
"Hermann Schäfer","laborer","722 Alamo Plaza","1891","Remedios Fuentes"
"José Garza","clerk","815 Houston St","1891","Emilie Koch"
"Emil Weber","stockman","476 Houston St","1881",""
"Andrés Castillo","stockman","1056 Soledad St","1885","Ramona Gutiérrez"
"Otto Fischer","butcher","357 Laredo St","1901","Beatriz Rivera"
"Patrick Connelly","carpenter","331 Navarro St","1905","Carmen Fuentes"
"Eugene Smith","laborer","497 Navarro St","1925",""
"Jesús Ortiz","baker","987 Navarro St","1915","Else Schäfer"
"Guadalupe Moreno","minister","244 Flores St","1920","Concepción Salinas"
"Ernst Lehmann","tailor","205 Soledad St","1910",""
"Thomas Mitchell","farmer","694 Alamo Plaza","1895",""
"Andrés Ortiz","butcher","866 Santa Rosa St","1920","Ramona Garza"
"August Weidemann","tailor","837 Navarro St","1915",""
"Frederick King","physician","145 Santa Rosa St","1895",""
"Johann Schroeder","barber","415 Santa Rosa St","1877",""
"Guadalupe Rodríguez","saloon keeper","100 Commerce St","1925","Lupe López"
"Klaus Schwarz","carpenter","1071 Navarro St","1905","Maureen Kennedy"
"Gustav Meyer","physician","844 Alamo Plaza","1881","Elizabeth Green"
"Michael Murphy","stockman","203 Santa Rosa St","1885",""
"Harold Anderson","physician","752 Alamo Plaza","1881",""
"Robert Brown","baker","737 Flores St","1891","Sophie Zimmermann"
"Franz Meyer","barber","960 Commerce St","1881","Francisca López"
"Gustav Weidemann","attorney","502 Laredo St","1877",""
"Hermann Richter","attorney","1170 Flores St","1901",""
"Henry White","physician","980 Alamo Plaza","1920","Marta Bauer"
"Jesús Rivera","blacksmith","182 Alamo Plaza","1905","Concepción Castillo"
"Florencio Herrera","tailor","219 Santa Rosa St","1925","Ruth Wilson"
"Carlos Domínguez","merchant","131 Laredo St","1920","Luz Fuentes"
"Walter Thompson","baker","882 Soledad St","1895",""
"Johann Koch","druggist","572 Navarro St","1895","Mathilde Koch"
"Andrés López","farmer","356 Alamo Plaza","1877",""
"Franz Richter","baker","512 Houston St","1910",""
"Bernardo Garza","minister","957 Alamo Plaza","1925",""
"Johann Gruenewald","teacher","574 Soledad St","1925","Ida Green"
"Ramón Fuentes","farmer","593 Laredo St","1901","Helen Thompson"
"Rafael Reyes","blacksmith","883 Houston St","1891",""
"Florencio Reyes","attorney","361 Laredo St","1905","Lillie Miller"
"Franz Neumann","carpenter","346 Laredo St","1885",""
"Francisco Rivera","druggist","1084 Soledad St","1915","Dolores Rivera"
"Agustín López","butcher","564 Santa Rosa St","1881",""
"Jesús Cantu","physician","452 Commerce St","1905","Katharina Braun"
"Joseph Johnson","merchant","1094 Santa Rosa St","1920",""
"Ernst Koch","farmer","921 Houston St","1910","Louisa Jones"
"Rafael Rodríguez","carpenter","590 Soledad St","1915",""
"Guadalupe Domínguez","printer","330 Commerce St","1891","Lupe García"
"Ramón Flores","printer","269 Market St","1920",""
"Gustav Schmitt","saloon keeper","528 Houston St","1885","Augusta Mueller"
"Klaus Schäfer","farmer","715 Navarro St","1910","Sarah Brown"
"Bruno Wolf","attorney","958 Commerce St","1905",""
"Liam O'Brien","baker","262 Navarro St","1877","Katharina Zimmermann"
"Pedro Medina","minister","333 Santa Rosa St","1885","Helen Martin"
"Antonio Domínguez","printer","234 Laredo St","1901","Eileen Walsh"
"Charles Wilson","baker","418 Houston St","1901","Amparo Flores"
"Florencio Herrera","saloon keeper","911 Santa Rosa St","1910",""
"Ignacio Hernández","printer","817 Market St","1881","Beatriz Cantu"
"Frederick Harris","barber","133 Santa Rosa St","1910","Emma Harris"
"Walter Bergmann","teamster","558 Navarro St","1905","Lena Zimmermann"
"Conrad Wagner","farmer","368 Commerce St","1891",""
"Juan Gutiérrez","printer","297 Houston St","1895",""
"Heinrich Schulz","printer","565 Navarro St","1881","Hilda Zimmermann"
"Florencio Salinas","clerk","670 Navarro St","1910",""
"Carlos Pérez","barber","914 Alamo Plaza","1915",""
"Thomas Mitchell","farmer","611 Commerce St","1881","Ethel Smith"
"Bernardo Ramos","butcher","365 Houston St","1881","Ida Braun"
"Ramón Hernández","carpenter","722 Santa Rosa St","1885","Emma Davis"
"Antonio Ortiz","saloon keeper","230 Santa Rosa St","1901",""
"Héctor Domínguez","saloon keeper","261 Market St","1877",""
"Ignacio Garza","butcher","1179 Houston St","1881",""
"Manuel Garza","attorney","476 Navarro St","1881","Carmen Torres"
"Henry Thomas","butcher","596 Soledad St","1910",""
"Héctor Flores","physician","1010 Houston St","1920",""
"Francisco Domínguez","druggist","440 Laredo St","1925",""
"Seamus O'Brien","printer","1073 Alamo Plaza","1925","Francisca Moreno"
"Wilhelm Mueller","laborer","827 Soledad St","1877","Elvira Vásquez"
"August Klein","baker","232 Laredo St","1885","Gertrud Schmitt"
"Tomás Sánchez","clerk","516 Flores St","1901",""
"Franz Weber","physician","501 Commerce St","1877","Bertha Smith"
"Andrés Rivera","physician","125 Navarro St","1877","Amparo Reyes"
"Henry Jackson","physician","715 Market St","1905","Ramona González"
"Tomás Salinas","printer","208 Soledad St","1920","Helen Carter"
"Samuel White","baker","236 Market St","1910","Bertha Lange"
"Juan García","clerk","1176 Santa Rosa St","1891",""
"Gregorio Ramírez","printer","646 Soledad St","1901","Bridget Brennan"
"Agustín Flores","stockman","390 Santa Rosa St","1877","Mathilde Hartmann"
"José López","farmer","232 Commerce St","1901","Fiona Flanagan"
"Klaus Schmidt","attorney","985 Soledad St","1920","Amparo Torres"
"Thomas Carter","butcher","932 Santa Rosa St","1920",""
"Walter Zimmermann","teamster","1029 Navarro St","1895","Bertha White"
"Seamus McCarthy","baker","1070 Alamo Plaza","1885",""
"Heinrich Koch","clerk","924 Commerce St","1901",""
"Ludwig Schwarz","blacksmith","741 Laredo St","1901","Bridget Murphy"
"Samuel Taylor","barber","836 Houston St","1885","Consuelo Fuentes"
"Gerhard Hoffmann","stockman","177 Commerce St","1885",""
"Charles Davis","stockman","1112 Commerce St","1910",""
"Joseph Green","blacksmith","1080 Santa Rosa St","1891",""
"Johann Bauer","merchant","313 Market St","1901","Carmen Rivera"
"Antonio Molina","merchant","284 Laredo St","1901","Elvira Morales"
"Bernardo Hernández","clerk","658 Alamo Plaza","1891","Juana González"
"William Green","stockman","654 Market St","1905",""
"August Neumann","baker","1082 Navarro St","1877","Edith Scott"
"Samuel Young","saloon keeper","1083 Laredo St","1881","Wilhelmine Krüger"
"Wilhelm Braun","clerk","350 Navarro St","1910","Emilie Schroeder"
"Florencio Díaz","carpenter","994 Soledad St","1925",""
"Franz Schulz","physician","275 Santa Rosa St","1915","Nellie Mitchell"
"Walter Gruenewald","baker","270 Market St","1877","Augusta Weidemann"
"Andrés Ramírez","blacksmith","720 Houston St","1901","Katharina Neumann"
"Gerhard Krüger","farmer","816 Soledad St","1877",""
"Juan Díaz","clerk","834 Navarro St","1901","Louisa Becker"
"Otto Mueller","druggist","947 Commerce St","1877",""
"Samuel Mitchell","clerk","104 Alamo Plaza","1885",""
"Hermann Braun","tailor","1049 Commerce St","1910",""
"William Johnson","butcher","145 Houston St","1881",""
"Friedrich Schulz","clerk","432 Navarro St","1925","Elena Reyes"
"Ignacio Ortiz","druggist","525 Flores St","1901","Lillie Martin"
"Thomas Mitchell","laborer","265 Flores St","1891",""
"Jesús Vásquez","laborer","443 Navarro St","1920",""
"Isidro Ortiz","teacher","975 Commerce St","1920",""
"Juan Ramos","minister","489 Houston St","1877","Luz Martínez"
"William Wright","merchant","1187 Houston St","1905",""
"Henry Green","druggist","1191 Market St","1925","Dolores Torres"
"Bernardo Flores","printer","567 Market St","1891","Lena Koch"
"Manuel Salinas","laborer","1190 Commerce St","1877",""
"Bruno Weidemann","tailor","350 Market St","1910",""
"Frederick Miller","laborer","649 Flores St","1920",""
"Klaus Steinemann","laborer","1171 Flores St","1891",""
"Hans Zimmermann","tailor","1142 Commerce St","1881","Mathilde Werner"
"Wilhelm Schmidt","druggist","737 Laredo St","1905","Florence Baker"
"Carlos Gutiérrez","clerk","465 Santa Rosa St","1881",""
"Robert Anderson","baker","268 Alamo Plaza","1905","Fiona Murphy"
"Gerhard Wagner","barber","421 Laredo St","1885","Anna Schwarz"
"José Flores","clerk","923 Navarro St","1881","Emma Green"
"Juan Moreno","farmer","527 Soledad St","1881",""
"Klaus Schroeder","carpenter","510 Laredo St","1910","Else Richter"
"Carlos Ramos","farmer","656 Alamo Plaza","1877",""
"Walter Nelson","butcher","708 Laredo St","1915","Teresa Castillo"
"Isidro Rodríguez","clerk","365 Flores St","1920","Amparo Salinas"
"Miguel Sánchez","stockman","1064 Commerce St","1925",""
"Juan Flores","clerk","233 Flores St","1885",""
"Charles Davis","laborer","662 Commerce St","1915",""
"José Herrera","saloon keeper","507 Santa Rosa St","1891","Carmen Cruz"
"Robert Anderson","clerk","1144 Laredo St","1895","Alice Allen"
"Miguel Morales","clerk","410 Laredo St","1905",""
"Frederick Davis","carpenter","311 Flores St","1901","Lupe Morales"
"Clarence Thomas","druggist","229 Alamo Plaza","1920","Katharina Steinemann"
"Gregorio Martínez","druggist","1141 Navarro St","1877",""
"José Moreno","butcher","509 Market St","1877","Elvira Pérez"
"Gerhard Koch","attorney","1058 Laredo St","1901","Amparo Ortiz"
"Hans Lehmann","druggist","599 Navarro St","1885",""
"Hermann Becker","druggist","139 Flores St","1920",""
"Samuel Wilson","teacher","1159 Commerce St","1885","Elvira Hernández"
"Otto Schroeder","printer","109 Flores St","1905","Margarita Domínguez"
"Eugene Green","butcher","1155 Alamo Plaza","1905",""
"Gustav Weber","clerk","1083 Commerce St","1881","Helen Johnson"
"Ramón Herrera","farmer","756 Market St","1895","Emma Anderson"
"Manuel Castillo","laborer","551 Santa Rosa St","1905","María Gutiérrez"
"Agustín Flores","clerk","826 Santa Rosa St","1881","Luz García"
"Michael Gallagher","farmer","805 Commerce St","1925","Esperanza Pérez"
"Gustav Neumann","merchant","1180 Houston St","1877",""
"Ramón Garza","baker","306 Laredo St","1885","Lupe Cantu"
"Rafael Flores","saloon keeper","1111 Flores St","1915","Bessie Roberts"
"Franz Bauer","minister","1121 Alamo Plaza","1885","Amparo Hernández"
"José Ramírez","tailor","1161 Soledad St","1925","Sophie Klein"
"Frederick Davis","merchant","371 Laredo St","1905","Louisa Gruenewald"
"Feliciano Medina","saloon keeper","575 Houston St","1925",""
"Ernesto Vásquez","barber","288 Houston St","1905","Concepción Rivera"
"Bernardo Reyes","printer","914 Alamo Plaza","1920",""
"Hans Becker","barber","796 Navarro St","1925","Margarita Pérez"
"Feliciano Salinas","stockman","876 Alamo Plaza","1877","Maureen Gallagher"
"Arthur Scott","barber","788 Soledad St","1925",""
"Franz Weidemann","baker","604 Navarro St","1895","Dolores Domínguez"
"Héctor Rivera","printer","763 Commerce St","1905","Bertha Werner"
"Joseph Adams","physician","1043 Soledad St","1877",""
"José Reyes","teamster","746 Commerce St","1881",""
"James Anderson","baker","1102 Commerce St","1895",""
"August Hartmann","blacksmith","371 Navarro St","1910",""
"Ignacio Cruz","baker","1101 Flores St","1915","Juana Domínguez"
"Feliciano López","druggist","681 Laredo St","1881","Augusta Bergmann"
"Walter Thompson","tailor","1099 Soledad St","1895","Frieda Lange"
"Richard Mitchell","carpenter","985 Commerce St","1877","Dolores Treviño"
"Charles Mitchell","druggist","317 Commerce St","1877","Elizabeth Nelson"
"Albert Wright","tailor","150 Navarro St","1925","Siobhan O'Brien"
"Florencio Ramos","teacher","675 Houston St","1901","Amparo Torres"
"Robert Young","carpenter","603 Navarro St","1877",""
"Florencio López","carpenter","212 Santa Rosa St","1910",""
"Miguel Ramos","saloon keeper","318 Alamo Plaza","1905","Helen Wright"
"Albert Moore","druggist","1150 Flores St","1881",""
"Franz Meyer","farmer","884 Alamo Plaza","1895","Bertha Bergmann"
"Friedrich Gruenewald","laborer","393 Market St","1891",""
"Gustav Meyer","clerk","144 Market St","1891",""
"Aurelio López","attorney","116 Alamo Plaza","1901","Frieda Richter"
"William King","druggist","709 Flores St","1910","Hilda Schäfer"
"Rafael González","barber","243 Houston St","1891","Luz Cantu"
"Héctor Cruz","baker","695 Laredo St","1905","Beatriz Salinas"
"Albert White","laborer","103 Flores St","1920",""
