First Name,Last Name,Name Prefix,Name Suffix,File Name,Email,Telephone,Cell Phone,Address 1,Address 2,City,State / Province,Postal Code,Country,Member Active,Member Join Date,Expiration Date,Membership Plan,Membership Type,Your Skills,Your Interests,Volunteering?,Administrative Notes,Joint Member,Email of Joint,Mbr. List - Show Name,Mbr. List - Show Address,Mbr. List - Show Phone,Mbr. List - Show Email,Birth Year,Gender
Lily,Berg,Ms.,,,lily_berg@msn.com,701-853-7489,701-484-9197,8193 6th Ave N,Unit B,Grand Forks,ND,58203,US,Yes,03/29/2026,03/28/2027,Individual,Individual,,"Bonanza farming, Pioneer women, DNA genealogy",No,,,,Yes,Yes,No,Yes,1957,Female
Pamela,Falk,,,,falkp@gondtc.com,701-275-7021,,1992 Rosewood Ln,,Garrison,ND,58540,US,Yes,01/21/2021,11/20/2027,Family,Individual,,,No,,Nolan Falk,nolanf@gondtc.com,Yes,Yes,No,Yes,1966,Female
Amy,Wold,,,,amy.wold@icloud.com,701-712-9735,,6371 Lakeview Dr,Unit D,Linton,ND,58552,US,No,03/24/2021,04/17/2025,Individual,Individual,,,Yes,,,,Yes,No,Yes,Yes,,Female
Raymond,Ulrich,,,,ulrichr@bektel.com,701-243-6781,701-672-6314,6706 Lincoln Ave,,Medora,ND,58645,US,Yes,06/23/2013,02/24/2027,Patron,Individual,,,No,,,,Yes,Yes,No,Yes,1971,Male
Patricia,Hansen,,,,patricia.hansen@drtel.net,701-722-3382,,1214 Park Ave,Apt 17,Garrison,ND,58540,US,Yes,01/27/2015,04/24/2027,Family,Individual,,"Immigration patterns, Bonanza farming",No,,Timothy Hansen,hansent@gondtc.com,Yes,Yes,No,Yes,,Female
Sarah,Richter,,,,sarah_richter@bektel.com,,701-779-8163,625 School Rd,,Northwood,ND,58267,US,Yes,10/25/2016,12/06/2026,Family,Individual,,"Civil War records, Bonanza farming, Norwegian immigration",Yes,,Ethan Richter,ethan_richter@westriv.com,Yes,No,No,Yes,1971,Female
Walter,Benson,,,,wbenson@hotmail.com,701-939-1741,701-563-8354,6799 Washington St,,Walhalla,ND,58282,US,Yes,11/15/2023,07/03/2027,Individual,Individual,,,No,,,,Yes,No,Yes,Yes,1997,Male
Patricia,Gilbertson,,,,gilbertsonp@ndsupernet.com,701-498-1447,701-284-3077,8383 Elm St,,Langdon,ND,58249,US,Yes,06/10/2021,05/28/2027,Individual,Individual,Grant writing,,No,,,,Yes,Yes,No,Yes,1943,Female
Stephanie,Schaefer,Ms.,,,schaefers@icloud.com,701-489-6308,,9414 Front St,Unit A,Wishek,ND,58495,US,No,05/23/2015,03/09/2025,Individual,Individual,,"County histories, Town histories, Norwegian immigration",No,,,,Yes,Yes,Yes,No,,Female
,,,,Bonanzaville USA,info@bonanzavilleusa.org,701-356-3621,,7016 Rosewood Ln,Suite 200,Hettinger,ND,58639,US,Yes,01/08/2016,08/26/2026,Organization,Organization,,,No,,,,Yes,Yes,Yes,Yes,,
Madison,Peterson,,,,mpeterson@outlook.com,,701-967-5558,6146 Lincoln Ave,Apt 16,Ellendale,ND,58436,US,Yes,03/25/2021,07/31/2026,Individual,Individual,Newspaper research,"DNA genealogy, County histories",No,,,,Yes,Yes,Yes,Yes,1966,Female
Gregory,Sorensen,,Jr.,,gregory.sorensen@midco.net,701-231-8293,,5883 Country Club Rd,,Mandan,ND,58554,US,Yes,12/31/2014,06/03/2026,Individual,Individual,,,No,,,,Yes,Yes,No,Yes,,Male
,,,,Grand Forks County Historical Society,info@grandforkscountyhist.org,701-299-6881,,5735 Rosewood Ln,,Enderlin,ND,58027,US,Yes,10/10/2018,01/11/2027,Organization,Organization,,,No,,,,Yes,Yes,Yes,Yes,,
Tyler,Peterson,,,,petersont@aol.com,701-487-6274,,8008 Prairie Dr,,Walhalla,ND,58282,US,Yes,10/31/2014,04/23/2027,Individual,Individual,,,No,,,,Yes,Yes,Yes,Yes,1947,Male
Ella,Bakken,,,,bakkene@icloud.com,701-446-9939,701-984-5162,5998 Washington St,,Grand Forks,ND,58201,US,Yes,07/27/2019,11/09/2026,Individual,Individual,,,No,,,,Yes,Yes,No,No,,Female
Lily,Thompson,,,,lily_thompson@mail.com,701-337-9470,,5272 Church St,Apt 10,Cavalier,ND,58220,US,Yes,02/16/2015,12/31/2099,Lifetime,Individual,,,No,,,,Yes,No,Yes,Yes,,Female
,,,,Mercer County Historical Society,info@mercercountyhistoric.org,701-471-8454,,4773 Central Ave,PO Box 813,Fargo,ND,58102,US,Yes,11/05/2016,01/16/2027,Organization,Organization,,,No,,,,Yes,Yes,Yes,Yes,,
Cheryl,Peterson,,,,cheryl.peterson@westriv.com,701-258-2229,,6755 Willow Dr,,Steele,ND,58482,US,Yes,01/18/2016,12/11/2027,Individual,Individual,,"Red River Valley history, Church records",Yes,,,,Yes,No,Yes,No,1986,Female
Samuel,Engen,,,,engens@msn.com,701-913-5444,701-870-1136,1191 Country Club Rd,,Crosby,ND,58730,US,Yes,11/13/2020,04/22/2026,Individual,Individual,,,No,,,,Yes,Yes,Yes,Yes,1997,Male
Isabella,Wolff,,,,isabellaw@live.com,,,2676 Sunset Blvd,,Stanley,ND,58784,US,Yes,09/07/2021,07/14/2026,Individual,Individual,"Event planning, Immigration records, Census research",,No,,,,Yes,Yes,No,Yes,1998,Female
Elijah,Thorson,,,,elijah_thorson@bektel.com,,,4806 Division St,,Stanley,ND,58784,US,Yes,01/15/2016,04/04/2027,Individual,Individual,,,No,,,,Yes,Yes,Yes,Yes,1974,Male
Harold,Knutson,,,,knutsonh@hotmail.com,701-744-5775,701-791-8326,3305 River Rd,Apt 11,Grafton,ND,58237,US,No,08/26/2022,12/31/2025,Individual,Individual,,Railroad history,No,,,,Yes,Yes,Yes,Yes,,Male
Hannah,Weiss,,,,hannah.weiss@westriv.com,701-498-8037,701-616-5563,8019 Dakota Ave,,Northwood,ND,58267,US,Yes,04/01/2026,04/01/2027,Family,Individual,"Census research, Digital scanning, Public speaking",,No,,Zachary Weiss,zachary.weiss@drtel.net,Yes,Yes,Yes,Yes,1969,Female
Patricia,Gunderson,,,,patricia_gunderson@ndsupernet.com,701-431-4044,701-207-9161,3978 School Rd,Apt 9,Tioga,ND,58852,US,Yes,01/17/2015,08/26/2026,Individual,Individual,,,No,,,,Yes,Yes,Yes,No,,Female
Eric,Falk,,,,falke@msn.com,,701-695-6654,5546 Hillside Dr,,New Salem,ND,58563,US,Yes,01/23/2015,08/11/2026,Individual,Individual,,,No,,,,Yes,No,No,Yes,1959,Male
Lincoln,Morken,,,,lincolnm@hotmail.com,,,3239 Valley View Rd,Apt 9,Hazen,ND,58545,US,Yes,04/17/2015,09/12/2026,Individual,Individual,"Event planning, Land records, Oral history interviews",,Yes,,,,Yes,No,No,Yes,,Male
Pamela,Huber,,,,huberp@protonmail.com,,701-995-8448,9137 Country Club Rd,,Walhalla,ND,58282,US,Yes,03/23/2014,08/29/2026,Family,Individual,,,No,,Jordan Huber,jordan.huber@polarcomm.com,Yes,Yes,No,Yes,,Female
Jerry,Fossum,,,,fossumj@live.com,701-831-2757,,611 Oak Ave,,Fargo,ND,58102,US,Yes,08/29/2017,01/09/2027,Family,Individual,Church records,"County histories, One-room schoolhouses, Cemetery preservation",No,,Jean Fossum,jean_fossum@icloud.com,Yes,Yes,No,No,1978,Male
Oliver,Torgerson,,,,otorgerson@live.com,701-636-8391,701-618-7021,8251 Birch St,,Tioga,ND,58852,US,Yes,04/04/2017,07/11/2027,Individual,Individual,,"Civil War records, Town histories",Yes,,,,Yes,Yes,No,Yes,1973,Male
Vincent,Paulson,,,,vincent.paulson@restel.com,,,9595 Heritage Ln,,Watford City,ND,58854,US,Yes,05/26/2012,07/23/2027,Individual,Individual,"Photography, Public speaking",,No,,,,Yes,Yes,Yes,No,,Male
Tyler,Wagner,,,,wagnert@midco.net,,701-942-4170,4919 Washington St,,Lisbon,ND,58054,US,No,10/26/2016,03/16/2026,Individual,Individual,,,No,,,,Yes,No,Yes,Yes,,Male
Evelyn,Carlson,,,,ecarlson@westriv.com,701-869-7581,701-255-5963,7062 Heritage Ln,Apt 4,Devils Lake,ND,58301,US,No,10/21/2019,02/13/2026,Individual,Individual,"Event planning, Cemetery transcription, Teaching",,No,,,,Yes,Yes,No,Yes,1960,Female
,,,,Minot Public Library,info@minotpubliclibrary.org,701-280-5803,,6025 Valley View Rd,,Mayville,ND,58257,US,Yes,02/25/2020,01/10/2027,Organization,Organization,,,No,,,,Yes,Yes,Yes,Yes,,
Mason,Brunsdale,,,,masonb@bektel.com,701-968-4087,701-613-1313,3842 Prairie Dr,Unit B,Wahpeton,ND,58075,US,No,08/24/2019,09/13/2025,Individual,Individual,,"Cemetery preservation, Farm families",No,,,,Yes,Yes,Yes,No,1996,Male
Brandon,Schultz,,,,bschultz@westriv.com,701-639-7626,,6943 Dakota Ave,,Grand Forks,ND,58203,US,No,11/22/2021,11/28/2025,Individual,Individual,,,No,,,,Yes,Yes,Yes,Yes,,Male
Mary,Huber,,,,maryh@icloud.com,701-674-4977,,1669 Country Club Rd,,Minot,ND,58703,US,Yes,02/21/2016,01/28/2027,Individual,Individual,,"Frontier medicine, Norwegian immigration, Immigration patterns",Yes,,,,Yes,Yes,No,No,1975,Female
Julie,Christenson,,,,jchristenson@midco.net,,,6428 5th St S,,Cavalier,ND,58220,US,Yes,11/13/2020,08/13/2027,Family,Individual,"Cemetery transcription, Event planning, Courthouse research",,No,,William Christenson,william.christenson@msn.com,Yes,Yes,Yes,Yes,1953,Female
Carolyn,Meyer,,,,cmeyer@restel.com,701-756-1319,,5983 Park Ave,,Williston,ND,58801,US,Yes,03/25/2026,03/25/2027,Individual,Individual,,,No,,,,Yes,Yes,No,Yes,1966,Female
Amy,Wolff,Ms.,,,awolff@icloud.com,,701-829-7228,477 Industrial Blvd,Unit B,Jamestown,ND,58401,US,Yes,04/08/2018,09/18/2026,Individual,Individual,,,No,,,,Yes,Yes,No,Yes,1994,Female
,,,,Barnes County Historical Society,info@barnescountyhistoric.org,701-523-7572,,4486 Elm St,PO Box 316,Medora,ND,58645,US,Yes,09/14/2023,07/17/2026,Organization,Organization,,,No,,,,Yes,Yes,Yes,Yes,,
Lily,Brunsdale,,,,lbrunsdale@ndsupernet.com,701-481-4154,701-360-4837,840 University Dr,,Bismarck,ND,58501,US,Yes,06/02/2019,09/11/2026,Patron,Individual,,"Frontier medicine, Bonanza farming",No,,,,Yes,Yes,Yes,Yes,1950,Female
Stephanie,Aanderud,,,,stephanie.aanderud@ndsupernet.com,701-868-1014,,6497 Pioneer Way,,Hillsboro,ND,58045,US,No,11/02/2018,03/29/2026,Individual,Individual,,,Yes,,,,Yes,No,No,Yes,1976,Female
Janice,Vogt,,,,vogtj@msn.com,701-754-3385,701-516-6618,4868 Willow Dr,,Fargo,ND,58103,US,No,11/15/2016,11/16/2025,Individual,Individual,,German-Russian heritage,Yes,,,,Yes,Yes,No,Yes,1967,Female
Martha,Berger,Mr.,,,marthab@protonmail.com,701-994-7429,701-681-3975,3248 Heritage Ln,,Williston,ND,58801,US,No,02/26/2022,10/11/2025,Individual,Individual,,"Immigration patterns, Frontier medicine",No,,,,Yes,Yes,No,No,,Female
Carl,Huber,,,,huberc@midco.net,701-716-3991,701-723-4192,2421 Prairie Dr,Unit B,Grand Forks,ND,58201,US,Yes,03/12/2020,08/11/2027,Family,Individual,Photography,,Yes,,Zoey Huber,zhuber@protonmail.com,Yes,Yes,Yes,No,,Male
Angela,Muller,,,,mullera@msn.com,,,5713 Heritage Ln,,Carrington,ND,58421,US,Yes,04/23/2018,07/17/2026,Individual,Individual,Census research,,No,,,,Yes,No,Yes,Yes,,Female
Oliver,Severson,,Sr.,,oseverson@protonmail.com,701-662-5505,701-628-2257,1611 Heritage Ln,,Watford City,ND,58854,US,Yes,05/09/2020,04/21/2026,Individual,Individual,,,Yes,,,,Yes,No,No,Yes,,Male
Julie,Falk,,,,julie.falk@bektel.com,701-732-5845,701-897-5986,5239 Cedar Ct,Apt 1,Garrison,ND,58540,US,Yes,03/22/2012,11/12/2027,Family,Individual,,,Yes,,Connor Falk,cfalk@yahoo.com,Yes,Yes,No,Yes,,Female
Lisa,Krause,,,,krausel@midco.net,701-933-9520,,9829 Sunset Blvd,,Langdon,ND,58249,US,Yes,05/06/2020,09/24/2027,Student,Individual,,,No,,,,Yes,Yes,Yes,Yes,2003,Female
Liam,Schultz,,,,liams@aol.com,701-831-3032,701-955-8020,4090 1st Ave N,,Stanley,ND,58784,US,No,11/30/2023,03/25/2026,Family,Individual,,Red River Valley history,No,,Kelly Schultz,schultzk@gondtc.com,Yes,Yes,No,No,,Male
Rebecca,Svenson,,,,svensonr@restel.com,701-451-3483,,8777 Division St,,West Fargo,ND,58078,US,Yes,03/24/2014,11/05/2026,Family,Individual,Photography,,Yes,Social Media Manager,Lawrence Svenson,lawrences@midco.net,Yes,Yes,No,Yes,1945,Female
John,Svenson,,,,johns@westriv.com,701-749-9808,,4646 1st Ave N,Apt 10,Beulah,ND,58523,US,Yes,11/16/2015,09/26/2027,Individual,Individual,German translation,German-Russian heritage,No,,,,Yes,Yes,Yes,Yes,1985,Male
Amanda,Hansen,,,,amanda.hansen@msn.com,,701-930-9558,1997 Main St,Unit A,Cavalier,ND,58220,US,Yes,07/23/2012,10/08/2027,Family,Individual,,,No,,Gregory Hansen,gregory.hansen@aol.com,Yes,No,No,Yes,,Female
Judith,Schmidt,,,,judith_schmidt@hotmail.com,701-634-5043,701-235-6921,562 5th St S,Unit D,Tioga,ND,58852,US,Yes,10/16/2014,06/30/2027,Individual,Individual,,,No,,,,Yes,Yes,No,Yes,1985,Female
Maria,Ringness,,,,mariar@aol.com,701-816-8537,,378 Railway Ave,,Grand Forks,ND,58203,US,Yes,03/19/2019,06/14/2027,Individual,Individual,,,No,,,,Yes,Yes,Yes,Yes,1985,Female
Edward,Richter,,,,edward_richter@live.com,701-302-8213,701-667-1251,2461 Division St,,Wahpeton,ND,58075,US,No,04/22/2019,03/17/2026,Individual,Individual,,,No,,,,Yes,Yes,Yes,Yes,,Male
Christine,Stricklin,Mr.,,,christine.stricklin@icloud.com,701-378-6567,,4129 University Dr,,Carrington,ND,58421,US,Yes,08/27/2013,06/02/2027,Individual,Individual,,,No,,,,Yes,Yes,Yes,Yes,,Female
Samuel,Muller,,,,smuller@msn.com,701-572-6715,,8669 Washington St,Apt 6,Tioga,ND,58852,US,Yes,07/04/2020,03/21/2027,Patron,Individual,,Civil War records,No,,,,Yes,Yes,Yes,Yes,1958,Male
Ryan,Halvorson,,,,ryanh@mail.com,701-767-1081,,7430 State St,,Williston,ND,58801,US,Yes,08/21/2021,11/04/2027,Family,Individual,"Genealogy software, Oral history interviews, Social media",,No,,Sophia Halvorson,halvorsons@msn.com,Yes,Yes,No,Yes,,Male
Evelyn,Huber,,,,hubere@outlook.com,701-586-2349,701-703-2709,5367 Hillside Dr,,Northwood,ND,58267,US,No,08/05/2017,01/30/2026,Family,Individual,,,No,,Ethan Huber,ethanh@msn.com,Yes,No,Yes,Yes,1968,Female
Carl,Krause,,,,carlk@mail.com,,,8074 Meadow Ln,Unit C,Park River,ND,58270,US,Yes,03/13/2016,01/03/2027,Family,Individual,,,Yes,,Mary Krause,mary.krause@gondtc.com,Yes,Yes,No,No,1981,Male
Thomas,Knutson,,,,tknutson@gmail.com,,701-604-7642,9702 State St,Unit A,Stanley,ND,58784,US,Yes,08/15/2023,03/20/2027,Individual,Individual,,,No,,,,Yes,Yes,Yes,No,1981,Male
Hunter,Engen,,,,hunter_engen@protonmail.com,701-856-8873,,9185 2nd Ave S,,Jamestown,ND,58401,US,Yes,05/08/2016,06/12/2027,Individual,Individual,,,No,,,,Yes,No,No,Yes,1950,Male
Pamela,Benson,Mrs.,,,bensonp@bektel.com,701-306-4368,,7230 Elm St,,Garrison,ND,58540,US,Yes,12/29/2021,10/12/2027,Student,Individual,DNA analysis,,No,,,,Yes,Yes,No,Yes,1999,Female
,,,,Griggs County Historical Society,info@griggscountyhistoric.org,701-546-1344,,9738 Hillside Dr,PO Box 335,Park River,ND,58270,US,Yes,05/10/2016,08/02/2026,Organization,Organization,,,No,,,,Yes,Yes,Yes,Yes,,
Amanda,Pedersen,,,,amanda_pedersen@midco.net,701-979-5321,,7239 6th Ave N,,West Fargo,ND,58078,US,No,12/19/2021,08/10/2025,Individual,Individual,Courthouse research,,No,,,,Yes,No,Yes,No,1963,Female
Riley,Christenson,,,,riley_christenson@drtel.net,,701-308-2870,8245 Rosewood Ln,,Hillsboro,ND,58045,US,Yes,01/13/2024,10/31/2026,Individual,Individual,"Courthouse research, Genealogy software, Teaching","German-Russian heritage, DNA genealogy, Railroad history",Yes,,,,Yes,No,Yes,Yes,,Female
Jesse,Solberg,,,,jesse.solberg@live.com,701-483-6889,701-950-6432,7963 Lincoln Ave,,Bottineau,ND,58318,US,Yes,07/25/2013,12/16/2026,Individual,Individual,,"Railroad history, Fur trade era, Red River Valley history",No,,,,Yes,Yes,No,Yes,1940,Male
Philip,Halvorson,Mrs.,,,philiph@drtel.net,,701-318-2753,9164 5th St S,Apt 9,Fargo,ND,58103,US,No,11/18/2023,08/26/2025,Individual,Individual,"Grant writing, Land records, Public speaking",,No,,,,Yes,No,Yes,Yes,1982,Male
Grace,Stricklin,Mrs.,,,grace_stricklin@gmail.com,,,9551 5th St S,,Ashley,ND,58413,US,Yes,02/22/2012,07/05/2027,Patron,Individual,Writing,,No,,,,Yes,Yes,No,No,1982,Female
Megan,Hovland,,,,meganh@ndsupernet.com,701-981-9005,,8137 Lincoln Ave,,Langdon,ND,58249,US,Yes,04/24/2020,04/17/2027,Individual,Individual,German translation,"Fur trade era, Church records, Pioneer women",Yes,,,,Yes,Yes,No,No,1993,Female
Melissa,Miller,Dr.,,,melissa_miller@msn.com,701-433-7091,,6685 Front St,Apt 5,Northwood,ND,58267,US,Yes,11/15/2021,04/25/2026,Individual,Individual,,,Yes,,,,Yes,No,Yes,Yes,1992,Female
Victoria,Rasmussen,,,,victoria_rasmussen@westriv.com,701-991-7622,,118 Industrial Blvd,,Williston,ND,58801,US,Yes,07/17/2022,05/23/2027,Individual,Individual,Church records,,No,,,,Yes,Yes,Yes,Yes,1988,Female
,,,,Cass County Historical Society,info@casscountyhistorical.org,701-563-4432,,4474 Elm St,,Stanley,ND,58784,US,Yes,05/09/2024,01/06/2027,Organization,Organization,,,No,,,,Yes,Yes,Yes,Yes,,
,,,,Fort Abraham Lincoln Foundation,info@fortabrahamlincolnfo.org,701-638-7543,,6030 Prairie Dr,PO Box 241,Cooperstown,ND,58425,US,Yes,04/18/2021,04/26/2027,Organization,Organization,,,No,,,,Yes,Yes,Yes,Yes,,
Nicole,Johnson,,,,nicolej@live.com,701-839-6531,,9334 Front St,,West Fargo,ND,58078,US,Yes,08/21/2023,03/18/2027,Individual,Individual,,,Yes,,,,Yes,Yes,No,Yes,1972,Female
Joyce,Thompson,,,,joyce_thompson@hotmail.com,701-545-8274,,316 Dakota Ave,,Fargo,ND,58102,US,Yes,07/19/2015,07/01/2026,Family,Individual,Writing,,No,,Connor Thompson,connor_thompson@icloud.com,Yes,No,No,Yes,,Female
Colton,Severson,,,,seversonc@westriv.com,,701-553-7532,2242 Willow Dr,,Devils Lake,ND,58301,US,Yes,03/03/2023,12/11/2027,Family,Individual,,,No,,Karen Severson,kseverson@yahoo.com,Yes,Yes,Yes,Yes,1970,Male
Abigail,Bjerke,,,,abigail.bjerke@westriv.com,701-445-3870,701-929-4273,5387 4th Ave NE,,Ellendale,ND,58436,US,Yes,08/09/2017,11/18/2026,Individual,Individual,"German translation, Event planning",,No,,,,Yes,No,No,Yes,1972,Female
Stephen,Gilbertson,Ms.,,,sgilbertson@restel.com,701-898-1699,,1034 Sunset Blvd,,Devils Lake,ND,58301,US,Yes,10/03/2024,10/13/2027,Family,Individual,,,Yes,,Janet Gilbertson,gilbertsonj@drtel.net,Yes,Yes,No,Yes,,Male
Arthur,Hovland,,Sr.,,ahovland@yahoo.com,,701-537-6092,1129 2nd Ave S,,Cavalier,ND,58220,US,No,12/21/2019,10/02/2025,Individual,Individual,,,No,,,,Yes,Yes,No,No,,Male
Sarah,Pedersen,,,,pedersens@drtel.net,,,290 6th Ave N,,Tioga,ND,58852,US,Yes,01/08/2017,05/13/2027,Individual,Individual,,,No,,,,Yes,Yes,Yes,No,,Female
Susan,Miller,,,,susanm@ndsupernet.com,,,6804 2nd Ave S,,Langdon,ND,58249,US,Yes,07/23/2014,09/08/2026,Individual,Individual,,,No,,,,Yes,Yes,No,Yes,1984,Female
Douglas,Holm,,,,holmd@protonmail.com,701-663-6877,,5120 Dakota Ave,,Grand Forks,ND,58201,US,Yes,08/10/2013,03/19/2027,Individual,Individual,,"Farm families, Native American history, Immigration patterns",No,,,,Yes,Yes,No,Yes,,Male
Zoey,Nordstrom,,,,zoey_nordstrom@gmail.com,,,187 Hillside Dr,,Williston,ND,58801,US,Yes,01/12/2024,11/25/2027,Individual,Individual,,,No,,,,Yes,Yes,No,Yes,1988,Female
Kelly,Bjerke,,,,kbjerke@gondtc.com,701-471-2938,,1477 Cedar Ct,,Ellendale,ND,58436,US,No,11/04/2015,10/03/2025,Individual,Individual,,"Native American history, Bonanza farming",No,,,,Yes,Yes,Yes,Yes,,Female
Kelly,Anderson,,,,andersonk@westriv.com,701-952-6681,701-794-7582,6196 Lincoln Ave,,Tioga,ND,58852,US,Yes,12/16/2022,01/24/2027,Individual,Individual,Public speaking,,No,,,,Yes,Yes,Yes,Yes,1963,Female
Margaret,Knutson,,,,mknutson@mail.com,701-993-3435,701-428-5767,2293 Lincoln Ave,,Tioga,ND,58852,US,Yes,05/28/2016,02/25/2027,Family,Individual,,,No,,Howard Knutson,knutsonh@gondtc.com,Yes,Yes,No,No,1942,Female
