"Groom Name","Bride Name","Marriage Date","County","Volume","Page","Notes"
"Charles Moore","Beatriz Pérez","08/08/1882","Bexar","17","103",""
"Ludwig Gruenewald","Mabel Wilson","07/11/1892","Bexar","21","143",""
"Liam Kennedy","Clara Hartmann","06/01/1905","Bexar","26","60",""
"Tomás Ortiz","Juana Chávez","06/14/1930","Bexar","35","311",""
"Tomás Díaz","Beatriz Chávez","11/24/1914","Bexar","29","482",""
"Adolph Klein","Amparo Garza","02/24/1922","Bexar","32","461",""
"Héctor Salinas","Hilda Schwarz","11/13/1906","Bexar","26","347",""
"Tomás Gutiérrez","Anna Schäfer","10/20/1907","Bexar","27","336",""
"Ernst Neumann","Emilie Hartmann","11/21/1912","Bexar","28","318",""
"Charles Scott","Ramona Díaz","04/16/1882","Bexar","17","313",""
"Héctor Díaz","Lillie Martin","11/23/1889","Bexar","20","3",""
"Thomas Adams","Emilie Lehmann","08/02/1903","Bexar","25","286",""
"Albert Jones","Louisa Young","08/20/1928","Bexar","34","418",""
"Gerhard Wolf","Harriet Harris","11/09/1895","Bexar","22","393",""
"Hermann Hoffmann","Hilda Schulz","09/03/1900","Bexar","24","71",""
"Antonio Morales","Petra Garza","01/07/1906","Bexar","26","427",""
"Frederick Green","Felicitas Vásquez","05/25/1902","Bexar","25","200",""
"Kieran Burke","Ida Nelson","08/08/1894","Bexar","22","140",""
"Jesús Molina","Ruth Roberts","09/01/1919","Bexar","31","465",""
"Friedrich Fischer","Bertha Steinemann","05/13/1883","Bexar","18","168",""
"Feliciano Vásquez","Petra Ortiz","01/24/1897","Bexar","23","277","Performed by Judge R.H. Harrison"
"Manuel González","Mabel Miller","03/08/1916","Bexar","30","65",""
"Miguel Ramos","Louisa Wagner","12/04/1927","Bexar","34","399",""
"Michael Gallagher","Elena Vásquez","04/03/1925","Bexar","33","304",""
"Karl Lange","Bertha Nelson","01/12/1916","Bexar","30","273",""
"Aurelio Garza","Petra Herrera","11/27/1903","Bexar","25","236",""
"Bruno Krüger","Ramona Fuentes","10/09/1926","Bexar","34","166",""
"William Moore","Mabel Adams","11/13/1919","Bexar","31","173","Performed by Judge R.H. Harrison"
"Miguel Cantu","Bessie Moore","05/18/1926","Bexar","34","6",""
"Ramón Domínguez","Katharina Lange","08/15/1925","Bexar","33","406","Performed by Judge R.H. Harrison"
"Isidro Cruz","Teresa Treviño","06/14/1913","Bexar","29","382",""
"Guadalupe Castillo","Consuelo Sánchez","02/24/1877","Bexar","15","275",""
"Ernst Becker","Ethel Baker","09/20/1928","Bexar","34","145",""
"Samuel Wilson","Elena García","05/02/1853","Bexar","6","499","Performed by Judge R.H. Harrison"
"Johann Krüger","Harriet Brown","05/16/1910","Bexar","28","246",""
"Juan Ortiz","Harriet Brown","08/03/1888","Bexar","19","296",""
"Antonio Gutiérrez","Consuelo Sánchez","10/20/1906","Bexar","26","405",""
"Joseph Harris","Grace Mitchell","05/19/1907","Bexar","27","318","Previously widowed"
"Feliciano Morales","Augusta Hartmann","03/18/1895","Bexar","22","39",""
"Klaus Schroeder","Consuelo Moreno","08/03/1926","Bexar","34","352",""
"Florencio Díaz","Hedwig Schulz","03/03/1897","Bexar","23","31",""
"Eusebio Moreno","Olga Lange","05/17/1905","Bexar","26","277",""
"Juan Chávez","Bertha Moore","11/27/1894","Bexar","22","441",""
"Liam Gallagher","Felicitas Rivera","08/09/1921","Bexar","32","93",""
"Conrad Fischer","Ida Koch","03/11/1886","Bexar","19","211",""
"Ernesto González","Gertrud Hoffmann","07/28/1929","Bexar","35","264",""
"Andrés Ramos","Wilhelmine Neumann","08/21/1928","Bexar","34","227",""
"Andrés Ramírez","Ruth Perez","01/21/1887","Bexar","19","312",""
"Samuel Young","Petra Hernández","08/04/1887","Bexar","19","332",""
"Ludwig Neumann","Helen Carter","04/15/1910","Bexar","28","283",""
"Bernardo Ramírez","Ethel Adams","06/26/1890","Bexar","20","260",""
"Eusebio Gutiérrez","Pearl Scott","08/18/1889","Bexar","20","248",""
"Gerhard Richter","Gertrud Steinemann","04/19/1924","Bexar","33","197",""
"John Anderson","Lillie Jackson","11/05/1938","Bexar","38","254",""
"Tomás Garza","Ruth Brown","01/24/1909","Bexar","27","74",""
"Johann Fischer","Augusta Koch","11/03/1905","Bexar","26","437",""
"Gerhard Richter","Colleen McCarthy","02/08/1919","Bexar","31","324",""
"Ramón Hernández","Frieda Schmitt","08/06/1886","Bexar","19","356",""
"Jesús López","Margarita Chávez","07/19/1913","Bexar","29","350",""
"Manuel Vásquez","Katharina Schroeder","04/15/1855","Bexar","7","327",""
"José Ramos","Ida Davis","10/10/1902","Bexar","25","328",""
"August Steinemann","Francisca Fuentes","10/12/1904","Bexar","25","295",""
"Friedrich Gruenewald","Augusta Mueller","12/02/1923","Bexar","32","467",""
"Ludwig Schmitt","Bertha Nelson","04/20/1920","Bexar","31","129",""
"Robert Wright","Luz González","01/19/1908","Bexar","27","187",""
"Luis Salinas","Florence Miller","06/17/1914","Bexar","29","257",""
"Edward Roberts","Harriet Nelson","02/15/1901","Bexar","24","494","Minor — parental consent noted"
"Joseph Mitchell","Nellie Williams","05/18/1838","Bexar","1","64",""
"Franz Zimmermann","Luz Treviño","08/01/1894","Bexar","22","318",""
"Klaus Schulz","Olga Weidemann","07/04/1920","Bexar","31","72","Second marriage"
"Ignacio Sánchez","Soledad Ramírez","11/24/1903","Bexar","25","357",""
"Johann Bergmann","Frieda Gruenewald","05/02/1906","Bexar","26","354",""
"Hermann Steinemann","Amparo Treviño","06/02/1921","Bexar","32","204",""
"Eamon Murphy","Lena Mueller","04/05/1901","Bexar","24","403",""
"Feliciano Morales","Katharina Koch","10/01/1937","Bexar","38","142",""
"Antonio Ortiz","Emma Scott","01/12/1853","Bexar","6","405",""
"Friedrich Wagner","Carmen Domínguez","02/16/1927","Bexar","34","230",""
"Karl Wolf","Lena Schmidt","11/17/1947","Bexar","41","155",""
"Patrick Brennan","Helen Scott","08/03/1925","Bexar","33","461","Witnesses present"
"Antonio Castillo","Mathilde Schwarz","10/17/1885","Bexar","18","151",""
"Karl Lehmann","Ida Baker","08/08/1892","Bexar","21","212",""
"Walter Werner","Petra Salinas","03/22/1903","Bexar","25","473",""
"Manuel Hernández","Louisa Lehmann","10/18/1883","Bexar","18","288",""
"Rafael Chávez","Elizabeth Taylor","02/19/1902","Bexar","25","260",""
"Hermann Steinemann","Soledad Treviño","10/08/1897","Bexar","23","414",""
"Klaus Braun","Hedwig Mueller","12/09/1922","Bexar","32","15",""
"Samuel Roberts","María Rivera","11/13/1909","Bexar","27","36",""
"Friedrich Fischer","Edith Jackson","03/12/1901","Bexar","24","160",""
"Frederick King","Guadalupe Torres","01/22/1919","Bexar","31","42",""
"Conrad Braun","Augusta Becker","06/14/1851","Bexar","6","57",""
"Conrad Neumann","Marta Schulz","01/01/1918","Bexar","31","105",""
"Antonio Ortiz","Rosa García","03/05/1907","Bexar","27","195",""
"Andrés Cantu","Elvira González","02/28/1909","Bexar","27","161",""
"Walter Schäfer","María Salinas","08/27/1919","Bexar","31","354",""
"Francisco Cruz","Clara Neumann","12/11/1899","Bexar","24","114",""
"Aurelio Sánchez","Wilhelmine Bergmann","12/27/1881","Bexar","17","331",""
"Antonio Ortiz","Juana Torres","02/06/1920","Bexar","31","488",""
"Hans Schmitt","Mathilde Krüger","06/28/1919","Bexar","31","498",""
"Manuel Fuentes","Hilda Lehmann","06/17/1883","Bexar","18","38",""
"Wilhelm Bauer","Sarah Wright","02/20/1946","Bexar","41","305",""
"Gerhard Lehmann","Elizabeth Harris","11/07/1910","Bexar","28","165",""
"Wilhelm Wolf","Concepción Hernández","01/08/1891","Bexar","21","363",""
"Bruno Braun","Margarita Moreno","06/22/1929","Bexar","35","307","Previously widowed"
"Heinrich Koch","Amparo Vásquez","11/20/1926","Bexar","34","448",""
"Gregorio Torres","Grace Wright","03/20/1905","Bexar","26","363",""
"Ernesto Garza","Louisa Williams","09/12/1907","Bexar","27","10",""
"Miguel Garza","Harriet Miller","03/03/1888","Bexar","19","152",""
"Feliciano González","Lena Meyer","03/06/1889","Bexar","20","426",""
"Otto Werner","Ida Bauer","08/20/1895","Bexar","22","146",""
"Charles Young","Ramona Fuentes","06/22/1861","Bexar","9","485",""
"Ludwig Schmitt","Remedios Domínguez","04/26/1941","Bexar","39","310",""
"Agustín Fuentes","Ida Roberts","02/10/1913","Bexar","29","43",""
"Aurelio Torres","Sarah Roberts","06/01/1908","Bexar","27","213","Witnesses present"
"Ernesto Hernández","María Salinas","12/21/1944","Bexar","40","172",""
"Luis Fuentes","Bertha Schmitt","10/01/1894","Bexar","22","464","Performed by Judge R.H. Harrison"
"Antonio Chávez","Elena Cruz","04/14/1883","Bexar","18","328",""
"Karl Gruenewald","Bertha Young","10/08/1912","Bexar","28","368",""
"Klaus Bauer","Petra Rivera","09/12/1885","Bexar","18","35",""
"Bruno Schwarz","Catalina González","05/24/1903","Bexar","25","9",""
"Ramón Pérez","Bessie Jones","06/27/1914","Bexar","29","330",""
"Albert Green","Emilie Lehmann","08/02/1925","Bexar","33","151",""
"John Anderson","Louisa Jackson","08/09/1906","Bexar","26","19",""
"Rafael López","Bessie Moore","07/13/1903","Bexar","25","381",""
"Dermot Kelly","Sophie Bauer","05/26/1903","Bexar","25","43",""
"Bernardo Rivera","Gertrud Weber","05/10/1922","Bexar","32","229",""
"August Bauer","Louisa Braun","11/26/1872","Bexar","14","486","Previously widowed"
"Adolph Neumann","Florence Smith","11/26/1918","Bexar","31","225","Second marriage"
"Agustín Treviño","Teresa González","08/12/1923","Bexar","32","191",""
"Antonio Treviño","Luz Castillo","01/24/1887","Bexar","19","96",""
"Andrés Sánchez","Lupe Medina","05/23/1919","Bexar","31","470",""
"Antonio Rodríguez","Olga Fischer","06/22/1945","Bexar","41","178",""
"Ludwig Bergmann","Esperanza Rivera","04/04/1902","Bexar","25","103",""
"Ignacio Martínez","Teresa Treviño","03/20/1915","Bexar","29","453","Performed by Judge R.H. Harrison"
"Isidro Fuentes","Ida Gruenewald","06/21/1888","Bexar","19","38",""
"Adolph Meyer","Ida Wright","03/14/1929","Bexar","35","258",""
"Francisco Torres","Esperanza Salinas","06/17/1865","Bexar","11","459",""
"Miguel Castillo","Elena Hernández","10/19/1890","Bexar","20","79",""
"Klaus Koch","Pearl Johnson","02/02/1840","Bexar","2","486",""
"Ernst Schmitt","Lena Krüger","09/10/1920","Bexar","31","329",""
"Emil Schäfer","Marta Wagner","08/07/1910","Bexar","28","175",""
"Isidro Salinas","Nellie Jackson","09/18/1903","Bexar","25","55",""
"Franz Wolf","Rosa López","10/14/1904","Bexar","25","128",""
"Richard Roberts","Gertrud Becker","09/15/1900","Bexar","24","256",""
"Heinrich Richter","Katharina Becker","01/10/1883","Bexar","18","254",""
"Arthur Taylor","Frieda Klein","12/12/1896","Bexar","22","392",""
"Juan Díaz","Elena Rodríguez","09/09/1908","Bexar","27","423",""
"Karl Meyer","Aoife Kennedy","09/12/1880","Bexar","16","387",""
"Emil Neumann","Guadalupe Ramírez","08/17/1939","Bexar","38","234",""
"Robert Anderson","Bessie Davis","12/27/1919","Bexar","31","154",""
"Bruno Schwarz","Mathilde Schäfer","06/11/1881","Bexar","17","345",""
"Ludwig Lehmann","Mary King","10/19/1921","Bexar","32","117",""
"Otto Neumann","Lena Schmitt","11/08/1855","Bexar","7","17",""
"Henry Smith","Ida Meyer","07/17/1893","Bexar","21","397",""
"Wilhelm Lange","Dolores Salinas","09/13/1898","Bexar","23","161",""
"Gerhard Koch","Augusta Braun","05/18/1895","Bexar","22","153",""
"Liam Doyle","Dolores Herrera","09/26/1902","Bexar","25","370",""
"Gregorio Vásquez","Lillie Carter","03/10/1929","Bexar","35","22",""
"Frank Roberts","Augusta Werner","09/09/1892","Bexar","21","478",""
"Francisco Cruz","Amparo Reyes","02/14/1883","Bexar","18","170",""
"Feliciano Ramírez","Soledad Flores","08/21/1910","Bexar","28","103",""
"Luis López","Sarah Wright","12/24/1914","Bexar","29","436",""
"George White","Florence Roberts","07/26/1944","Bexar","40","254",""
"Samuel Perez","Elena Pérez","05/15/1879","Bexar","16","329",""
"Johann Steinemann","Augusta Becker","03/24/1879","Bexar","16","235",""
"James Baker","Elena Díaz","07/27/1920","Bexar","31","219",""
"Gregorio Pérez","Carmen Fuentes","01/09/1895","Bexar","22","197",""
"Richard Taylor","Mathilde Mueller","12/08/1903","Bexar","25","32",""
"Otto Richter","Hilda Lange","06/20/1898","Bexar","23","114",""
"Antonio Ramos","Bertha Thomas","08/25/1915","Bexar","29","276",""
"Charles Scott","Sarah Thompson","06/03/1925","Bexar","33","470",""
"Andrés Díaz","Bertha Wagner","08/04/1913","Bexar","29","349",""
"Heinrich Bergmann","Marta Wolf","08/19/1906","Bexar","26","30",""
"Ludwig Werner","Lupe García","02/02/1911","Bexar","28","217",""
"Juan Rodríguez","Colleen O'Brien","03/25/1891","Bexar","21","329",""
"Walter Bauer","Aoife Brennan","07/03/1885","Bexar","18","350",""
"Robert Wright","Emma Davis","09/05/1887","Bexar","19","373",""
"James Taylor","Hedwig Klein","04/15/1894","Bexar","22","178",""
"Eusebio Sánchez","Amparo Domínguez","04/07/1881","Bexar","17","35",""
"Bernardo López","Guadalupe Molina","04/25/1914","Bexar","29","443",""
"Luis Reyes","Pearl Anderson","11/27/1929","Bexar","35","165",""
"Clarence Wilson","Augusta Schmidt","12/06/1917","Bexar","30","321",""
"Wilhelm Bauer","Lillie Nelson","07/14/1924","Bexar","33","77",""
"Andrés Fuentes","Consuelo Gutiérrez","08/02/1855","Bexar","7","288",""
"Bruno Meyer","Lupe Morales","08/28/1885","Bexar","18","190","Previously widowed"
"John Moore","Juana González","10/24/1861","Bexar","9","344",""
"Gustav Schäfer","Bridget Sullivan","02/24/1931","Bexar","35","387",""
"Bernardo Morales","Consuelo Salinas","08/18/1885","Bexar","18","333",""
"Aurelio Herrera","Sophie Schmitt","06/11/1863","Bexar","10","212","Minor — parental consent noted"
"James Moore","Mathilde Zimmermann","03/07/1874","Bexar","14","169",""
"Hermann Schroeder","Gertrud Hoffmann","12/21/1899","Bexar","24","379",""
"Florencio Cantu","Elvira Herrera","11/02/1914","Bexar","29","269","Second marriage"
"John Adams","Carmen Reyes","01/07/1889","Bexar","20","259",""
"Agustín Fuentes","Anna Mueller","01/01/1906","Bexar","26","272",""
"Ludwig Mueller","Ida Lehmann","02/04/1859","Bexar","9","269",""
"Aurelio Ortiz","Ethel Nelson","07/15/1903","Bexar","25","290",""
"Ludwig Hartmann","Sarah Wright","01/03/1920","Bexar","31","208",""
"Wilhelm Krüger","Esperanza Hernández","11/26/1907","Bexar","27","170",""
"Thomas Perez","Marta Schulz","10/16/1924","Bexar","33","139","Second marriage"
"Franz Bergmann","Marta Wagner","01/07/1877","Bexar","15","301",""
"Joseph Roberts","Esperanza Cruz","11/18/1904","Bexar","25","170",""
"William Thompson","Nellie Johnson","02/11/1894","Bexar","22","310",""
"Kieran Doyle","Luz Castillo","08/08/1894","Bexar","22","183",""
"Pedro Vásquez","Juana Moreno","02/03/1928","Bexar","34","138",""
"Robert Baker","Margarita Pérez","08/12/1899","Bexar","24","390",""
"Pedro Chávez","Hedwig Neumann","02/12/1881","Bexar","17","284","Witnesses present"
"Joseph Smith","Francisca Hernández","04/19/1908","Bexar","27","267",""
"Antonio Castillo","Catalina Torres","05/14/1907","Bexar","27","154",""
"Carlos Cruz","Harriet King","02/05/1909","Bexar","27","156","Catholic ceremony"
"Bernardo Vásquez","Bessie Harris","10/05/1921","Bexar","32","154",""
"Henry Martin","Francisca Salinas","11/16/1924","Bexar","33","496",""
"Ernesto Castillo","Lillie Thomas","04/19/1916","Bexar","30","280",""
"James Baker","Wilhelmine Wolf","12/03/1943","Bexar","40","420",""
"Arthur Jones","Katharina Hoffmann","07/26/1925","Bexar","33","194","Witnesses present"
"Emil Schwarz","Ida Schwarz","12/26/1903","Bexar","25","275",""
"Thomas Adams","Amparo Cantu","01/19/1919","Bexar","31","331",""
"Feliciano Garza","Aoife Murphy","04/17/1896","Bexar","22","383",""
"Hans Schulz","Clara Wolf","12/17/1912","Bexar","28","78",""
"Francisco Moreno","Helene Weber","03/12/1930","Bexar","35","160",""
"Clarence Martin","Rosa Medina","06/03/1894","Bexar","22","154","Previously widowed"
"Jesús Pérez","Emilie Weidemann","09/06/1868","Bexar","12","283",""
"August Schulz","Florence Davis","07/01/1907","Bexar","27","378",""
"Tomás Chávez","Beatriz Morales","12/26/1928","Bexar","34","408","Second marriage"
"Eugene Davis","Dolores Ramos","08/17/1922","Bexar","32","495",""
"Klaus Richter","Louisa Bauer","03/27/1916","Bexar","30","345",""
"Bernardo Hernández","Gertrud Weber","03/12/1887","Bexar","19","356",""
"Bernardo Ramírez","Ida Wagner","12/21/1914","Bexar","29","477",""
"Conrad Schäfer","Concepción Medina","01/16/1902","Bexar","25","70",""
"Andrés Herrera","Sophie Klein","08/06/1893","Bexar","21","43",""
"Charles Taylor","Consuelo Moreno","10/24/1909","Bexar","27","396",""
"Karl Zimmermann","Felicitas Treviño","01/25/1928","Bexar","34","369",""
"Héctor Pérez","Mabel Taylor","08/09/1841","Bexar","2","179",""
"Francisco Cruz","Elvira Cantu","11/14/1915","Bexar","29","85",""
"Henry Nelson","Margarita Castillo","06/23/1890","Bexar","20","150",""
"Aurelio Pérez","Felicitas Domínguez","11/05/1872","Bexar","14","360",""
"Isidro Salinas","Lillie Martin","05/21/1920","Bexar","31","213",""
"Florencio Hernández","Augusta Lange","08/16/1884","Bexar","18","168",""
"William Baker","Brigid McCarthy","07/07/1914","Bexar","29","496",""
"Carlos Salinas","Bessie Young","08/26/1916","Bexar","30","176",""
"John Brown","Olga Mueller","08/15/1890","Bexar","20","1",""
"Johann Bergmann","Emilie Steinemann","02/21/1872","Bexar","14","185",""
"Agustín Flores","Luz Gutiérrez","04/14/1933","Bexar","36","336","Second marriage"
"Ignacio Rodríguez","Consuelo Medina","06/27/1924","Bexar","33","62",""
"Johann Schroeder","Francisca Hernández","02/11/1850","Bexar","5","189",""
"Feliciano Ramírez","Bertha Fischer","10/21/1880","Bexar","16","85",""
"Robert Roberts","Olga Steinemann","03/25/1886","Bexar","19","64",""
"Héctor Salinas","Mabel Moore","09/20/1895","Bexar","22","308",""
"Isidro Martínez","Grace Miller","04/24/1912","Bexar","28","201",""
"Florencio Cruz","Frieda Schulz","02/17/1918","Bexar","31","456",""
"Dermot Kelly","Teresa Domínguez","03/25/1923","Bexar","32","242",""
"James Allen","Lupe Morales","07/17/1883","Bexar","18","147",""
"Walter Klein","Sarah Wright","03/09/1919","Bexar","31","43",""
"Ernst Lehmann","Concepción Molina","11/22/1928","Bexar","34","330","Previously widowed"
"Hermann Schmidt","Petra Sánchez","01/10/1918","Bexar","31","342",""
"Thomas Smith","Mary Davis","09/17/1902","Bexar","25","401",""
"Rafael Ramírez","Ethel Baker","01/11/1935","Bexar","37","414",""
"Franz Lange","Kathleen Brennan","01/16/1903","Bexar","25","440",""
"Carlos Pérez","Emma Wilson","01/28/1837","Bexar","1","442","Second marriage"
"Emil Weidemann","Guadalupe Domínguez","07/24/1895","Bexar","22","164",""
"Rafael Sánchez","Marta Wagner","01/13/1913","Bexar","29","36",""
"Samuel Anderson","Angela García","10/26/1898","Bexar","23","156",""
"Rafael Herrera","Siobhan Ryan","04/05/1934","Bexar","37","4",""
"Andrés Cantu","Anna Koch","07/28/1922","Bexar","32","378",""
"Aurelio Cruz","Marta Meyer","01/08/1848","Bexar","5","460",""
"Adolph Wolf","Kathleen Gallagher","11/27/1888","Bexar","19","202","Witnesses present"
"Gregorio Ramírez","Lupe Salinas","12/27/1887","Bexar","19","377",""
"Hermann Fischer","Alice Adams","03/04/1850","Bexar","5","85",""
"Francisco Cantu","Siobhan Brennan","02/03/1896","Bexar","22","81",""
"Isidro González","Concepción Torres","06/13/1895","Bexar","22","263","Performed by Judge R.H. Harrison"
"Pedro Martínez","Colleen Burke","02/15/1868","Bexar","12","53",""
"José López","Mabel Jones","06/22/1905","Bexar","26","323",""
"Tomás Ortiz","Sarah Smith","11/15/1862","Bexar","10","415",""
"Richard Brown","Angela López","07/27/1916","Bexar","30","371",""
"Gregorio Chávez","Dolores Rivera","03/02/1908","Bexar","27","315",""
"Luis Herrera","Hedwig Schroeder","07/05/1897","Bexar","23","215",""
"Clarence Wilson","Hedwig Lehmann","12/12/1904","Bexar","25","246",""
"Hans Neumann","Lupe Rivera","04/01/1918","Bexar","31","459",""
"Florencio Fuentes","Mathilde Schulz","04/22/1849","Bexar","5","124",""
"John Adams","Siobhan Gallagher","07/12/1939","Bexar","38","479",""
"George Wilson","Louisa Weidemann","12/12/1925","Bexar","33","486",""
"Miguel Herrera","Emilie Schroeder","04/20/1883","Bexar","18","113","Catholic ceremony"
"Bernardo Díaz","Bessie Green","01/01/1900","Bexar","24","76",""
"Thomas Mitchell","Louisa Fischer","07/19/1922","Bexar","32","52",""
"Pedro Chávez","Harriet Wright","09/23/1925","Bexar","33","456",""
"Charles Scott","Emilie Richter","05/05/1924","Bexar","33","91",""
"Frederick Jackson","Pearl Johnson","10/08/1900","Bexar","24","328",""
"Robert Anderson","Mabel Thomas","11/03/1858","Bexar","8","421",""
"Gustav Wolf","Dolores Cruz","05/26/1902","Bexar","25","56",""
"Guadalupe Domínguez","Aoife Brennan","09/13/1881","Bexar","17","52",""
"Frederick Wright","Mabel Davis","05/01/1882","Bexar","17","164",""
"Jesús Flores","Florence Baker","06/20/1885","Bexar","18","315",""
"Walter Wright","Petra Flores","04/07/1901","Bexar","24","210",""
"Eugene Moore","Hilda Schulz","10/18/1905","Bexar","26","431",""
"José Chávez","Amparo Fuentes","04/06/1881","Bexar","17","327",""
"Francisco Gutiérrez","Harriet Martin","02/21/1870","Bexar","13","279",""
"Ernesto Treviño","Guadalupe Ortiz","04/27/1896","Bexar","22","138",""
"Isidro Pérez","Margarita Domínguez","04/18/1912","Bexar","28","32",""
"Walter Young","Sophie Zimmermann","05/03/1897","Bexar","23","203",""
"Clarence Allen","Pearl Scott","02/25/1855","Bexar","7","230",""
"Seamus Doyle","Guadalupe Chávez","07/07/1923","Bexar","32","422",""
"Edward Anderson","Sarah Williams","09/11/1905","Bexar","26","439",""
"Friedrich Lehmann","Pearl Thompson","07/05/1851","Bexar","6","76",""
"Karl Weidemann","Felicitas Pérez","09/12/1948","Bexar","42","450",""
"Ignacio Fuentes","Lupe Molina","11/23/1918","Bexar","31","206","Performed by Judge R.H. Harrison"
"Wilhelm Werner","Augusta Bergmann","05/10/1901","Bexar","24","144",""
"Thomas Mitchell","Elena Medina","05/24/1878","Bexar","16","214",""
"Guadalupe Morales","Helen Baker","06/27/1913","Bexar","29","29",""
"Luis Molina","Remedios Martínez","01/08/1892","Bexar","21","17",""
"Henry Moore","Angela Molina","11/01/1887","Bexar","19","124",""
"Otto Steinemann","Hedwig Bauer","12/27/1896","Bexar","22","353","Second marriage"
"Pedro Morales","Mabel Scott","07/17/1921","Bexar","32","11",""
"Patrick Brennan","Florence King","05/20/1865","Bexar","11","413",""
"Edward White","Nellie Harris","05/22/1909","Bexar","27","267",""
"Francisco García","Louisa Schwarz","05/10/1918","Bexar","31","351",""
"Carlos Salinas","Ethel Wright","05/07/1920","Bexar","31","77",""
"Juan Molina","Bertha Werner","05/09/1911","Bexar","28","465",""
"Juan Díaz","Beatriz Reyes","08/22/1920","Bexar","31","184",""
"Eugene Davis","Catalina Ramírez","09/25/1929","Bexar","35","468",""
"Gustav Krüger","Margarita Reyes","07/26/1876","Bexar","15","455",""
"Luis Ramos","Harriet Johnson","10/20/1911","Bexar","28","37",""
"Francisco Vásquez","Ida Schmidt","03/07/1856","Bexar","8","176",""
"August Meyer","Beatriz Rivera","06/21/1899","Bexar","24","91",""
"Guadalupe Castillo","Felicitas Flores","08/26/1890","Bexar","20","391",""
"Héctor Chávez","Sophie Richter","04/24/1914","Bexar","29","192",""
"Clarence Miller","María Cruz","05/05/1902","Bexar","25","53",""
"Otto Fischer","Grace Taylor","10/17/1913","Bexar","29","173",""
"Johann Koch","Colleen Kennedy","07/01/1858","Bexar","8","117",""
"Seamus Ryan","Remedios Flores","11/26/1925","Bexar","33","20",""
"Gerhard Braun","Guadalupe Pérez","01/23/1881","Bexar","17","60",""
"Andrés Ortiz","Bertha Becker","01/10/1920","Bexar","31","216",""
"Franz Braun","Bertha Klein","09/24/1850","Bexar","5","317",""
"Francisco Herrera","Dolores Ortiz","06/23/1862","Bexar","10","210",""
"Ignacio Morales","Sophie Koch","11/03/1880","Bexar","16","465",""
"Conrad Meyer","Louisa Williams","05/21/1849","Bexar","5","119",""
"Liam Brennan","Esperanza González","11/11/1883","Bexar","18","219",""
"Feliciano González","Carmen Flores","10/09/1908","Bexar","27","450",""
"Jesús Rivera","Francisca Ramos","12/28/1904","Bexar","25","245",""
"Otto Weber","Elvira López","03/04/1945","Bexar","41","214",""
"Hans Hartmann","Lena Richter","01/28/1915","Bexar","29","351",""
"Robert Martin","Emma Perez","02/09/1882","Bexar","17","336",""
"Clarence Adams","Pearl Wilson","06/17/1922","Bexar","32","268",""
