First name,Last name,Email,Membership level,Status,Member since,Renewal due,Phone,Address,City,State,Zip,Country,Surnames Researched,Research Areas
Tammy,Wells,tammy.wells@email.com,Lifetime,Active,2014-06-15,,,(936) 555-0231,885 Soft Drive,The Woodlands,TX,77381,USA,"Wells, Webb, Simpson","Upton County TX, Reagan County TX"
Victor,Webb,victor.webb@email.com,Individual,Active,2021-09-02,2026-09-02,(936) 555-0232,996 Mild Court,The Woodlands,TX,77382,USA,"Webb, Simpson, Stevens","Irion County TX, Tom Green County TX"
Amy,Simpson,amy.simpson@email.com,Individual,Pending,2025-11-18,2026-11-18,(281) 555-0233,107 Calm Lane,Katy,TX,77449,USA,"Simpson, Stevens, Tucker","Concho County TX, McCulloch County TX"
Aaron,Stevens,aaron.stevens@email.com,Family,Active,2020-04-05,2026-04-05,(281) 555-0234,218 Easy Road,Katy,TX,77450,USA,"Stevens, Tucker, Porter","San Saba County TX, Mills County TX"
Christina,Tucker,christina.tucker@email.com,Student,Active,2024-01-22,2026-01-22,(281) 555-0235,329 Relaxed Place,Katy,TX,77451,USA,"Tucker, Porter, Hunter","Lampasas County TX, Hamilton County TX"
Randy,Porter,randy.porter@email.com,Individual,Active,2019-07-08,2026-07-08,(281) 555-0236,431 Leisurely Way,Sugar Land,TX,77478,USA,"Porter, Hunter, Hicks","Comanche County TX, Brown County TX"
Julia,Hunter,julia.hunter@email.com,Individual,Expired,2017-11-25,2025-11-25,(281) 555-0237,542 Unhurried Street,Sugar Land,TX,77479,USA,"Hunter, Hicks, Crawford","Coleman County TX, Runnels County TX"
Carl,Hicks,carl.hicks@email.com,Family,Active,2021-02-12,2026-02-12,(281) 555-0238,653 Easygoing Blvd,Sugar Land,TX,77480,USA,"Hicks, Crawford, Henry","Coke County TX, Sterling County TX"
Denise,Crawford,denise.crawford@email.com,Individual,Active,2022-08-28,2026-08-28,(281) 555-0239,764 Mellow Drive,Pearland,TX,77581,USA,"Crawford, Henry, Boyd","Glasscock County TX, Reagan County TX"
Sean,Henry,sean.henry@email.com,Lifetime,Active,2008-03-15,,,(281) 555-0240,875 Placid Court,Pearland,TX,77582,USA,"Henry, Boyd, Mason","Schleicher County TX, Sutton County TX"
Samantha,Boyd,samantha.boyd@email.com,Individual,Active,2020-10-05,2026-10-05,(281) 555-0241,986 Composed Lane,Pearland,TX,77583,USA,"Boyd, Mason, Morales","Crockett County TX, Val Verde County TX"
Todd,Mason,todd.mason@email.com,Individual,Pending,2025-09-22,2026-09-22,(281) 555-0242,197 Collected Road,League City,TX,77573,USA,"Mason, Morales, Kennedy","Edwards County TX, Kimble County TX"
Lauren,Morales,lauren.morales@email.com,Family,Active,2019-05-12,2026-05-12,(281) 555-0243,208 Cool Place,League City,TX,77574,USA,"Morales, Kennedy, Warren","Menard County TX, Mason County TX"
Chad,Kennedy,chad.kennedy@email.com,Student,Expired,2023-12-08,2025-12-08,(281) 555-0244,319 Level Way,League City,TX,77575,USA,"Kennedy, Warren, Dixon","Llano County TX, San Saba County TX"
Tiffany,Warren,tiffany.warren@email.com,Individual,Active,2021-06-28,2026-06-28,(409) 555-0245,421 Poised Street,Galveston,TX,77550,USA,"Warren, Dixon, Ramos","Gillespie County TX, Kerr County TX"
Phillip,Dixon,phillip.dixon@email.com,Individual,Active,2020-01-15,2026-01-15,(409) 555-0246,532 Steady Blvd,Galveston,TX,77551,USA,"Dixon, Ramos, Reyes","Kendall County TX, Comal County TX"
Kelly,Ramos,kelly.ramos@email.com,Family,Active,2018-09-02,2026-09-02,(409) 555-0247,643 Stable Drive,Galveston,TX,77552,USA,"Ramos, Reyes, Burns","Guadalupe County TX, Caldwell County TX"
George,Reyes,george.reyes@email.com,Individual,Expired,2016-04-18,2025-04-18,(409) 555-0248,754 Constant Court,Beaumont,TX,77701,USA,"Reyes, Burns, Gordon","Hays County TX, Blanco County TX"
Monica,Burns,monica.burns@email.com,Lifetime,Active,2013-11-05,,,(409) 555-0249,865 Unwavering Lane,Beaumont,TX,77702,USA,"Burns, Gordon, Shaw","Travis County TX, Williamson County TX"
Kenneth,Gordon,kenneth.gordon@email.com,Individual,Active,2022-02-22,2026-02-22,(409) 555-0250,976 Resolute Road,Beaumont,TX,77703,USA,"Gordon, Shaw, Holmes","Bastrop County TX, Lee County TX"
Brittany,Shaw,brittany.shaw@email.com,Individual,Active,2019-08-08,2026-08-08,(409) 555-0251,187 Firm Place,Beaumont,TX,77704,USA,"Shaw, Holmes, Rice","Burleson County TX, Brazos County TX"
Nathan,Holmes,nathan.holmes@email.com,Family,Pending,2025-10-28,2026-10-28,(409) 555-0252,298 Solid Way,Port Arthur,TX,77640,USA,"Holmes, Rice, Robertson","Robertson County TX, Milam County TX"
Andrea,Rice,andrea.rice@email.com,Student,Active,2024-04-15,2026-04-15,(409) 555-0253,309 Strong Street,Port Arthur,TX,77641,USA,"Rice, Robertson, Hunt","Bell County TX, Coryell County TX"
Shawn,Robertson,shawn.robertson@email.com,Individual,Active,2020-07-02,2026-07-02,(409) 555-0254,411 Sturdy Blvd,Port Arthur,TX,77642,USA,"Robertson, Hunt, Black","McLennan County TX, Falls County TX"
Jacqueline,Hunt,jacqueline.hunt@email.com,Individual,Expired,2017-12-18,2025-12-18,(972) 555-0255,522 Robust Drive,Plano,TX,75023,USA,"Hunt, Black, Palmer","Limestone County TX, Freestone County TX"
Travis,Black,travis.black@email.com,Family,Active,2021-04-05,2026-04-05,(972) 555-0256,633 Hardy Court,Plano,TX,75024,USA,"Black, Palmer, Wagner","Navarro County TX, Ellis County TX"
Maria,Palmer,maria.palmer@email.com,Lifetime,Active,2009-08-22,,,(972) 555-0257,744 Tough Lane,Plano,TX,75025,USA,"Palmer, Wagner, Chavez","Kaufman County TX, Henderson County TX"
Douglas,Wagner,douglas.wagner@email.com,Individual,Active,2022-10-12,2026-10-12,(972) 555-0258,855 Durable Road,Plano,TX,75026,USA,"Wagner, Chavez, Spencer","Van Zandt County TX, Rains County TX"
Lisa,Chavez,lisa.chavez@email.com,Individual,Active,2019-03-28,2026-03-28,(972) 555-0259,966 Resilient Place,Irving,TX,75014,USA,"Chavez, Spencer, Weaver","Wood County TX, Smith County TX"
Ernest,Spencer,ernest.spencer@email.com,Family,Active,2020-11-15,2026-11-15,(972) 555-0260,177 Enduring Way,Irving,TX,75015,USA,"Spencer, Weaver, Zimmerman","Gregg County TX, Upshur County TX"
Sara,Weaver,sara.weaver@email.com,Student,Active,2024-06-02,2026-06-02,(972) 555-0261,288 Lasting Street,Irving,TX,75016,USA,"Weaver, Zimmerman, Douglas","Harrison County TX, Panola County TX"
Gregory,Zimmerman,gregory.zimmerman@email.com,Individual,Pending,2025-08-18,2026-08-18,(972) 555-0262,399 Permanent Blvd,Irving,TX,75017,USA,"Zimmerman, Douglas, Hansen","Rusk County TX, Shelby County TX"
Kathy,Douglas,kathy.douglas@email.com,Individual,Active,2021-01-05,2026-01-05,(972) 555-0263,401 Perpetual Drive,Garland,TX,75040,USA,"Douglas, Hansen, Franklin","Nacogdoches County TX, San Augustine County TX"
Raymond,Hansen,raymond.hansen@email.com,Family,Expired,2016-06-22,2025-06-22,(972) 555-0264,512 Eternal Court,Garland,TX,75041,USA,"Hansen, Franklin, Pierce","Sabine County TX, Newton County TX"
Alexis,Franklin,alexis.franklin@email.com,Lifetime,Active,2012-01-08,,,(972) 555-0265,623 Timeless Lane,Garland,TX,75042,USA,"Franklin, Pierce, Stone","Jasper County TX, Tyler County TX"
Vincent,Pierce,vincent.pierce@email.com,Individual,Active,2022-06-25,2026-06-25,(972) 555-0266,734 Ageless Road,Garland,TX,75043,USA,"Pierce, Stone, Hawkins","Polk County TX, Trinity County TX"
Beth,Stone,beth.stone@email.com,Individual,Active,2019-09-12,2026-09-12,(972) 555-0267,845 Dateless Place,Grand Prairie,TX,75050,USA,"Stone, Hawkins, Little","Houston County TX, Anderson County TX"
Martin,Hawkins,martin.hawkins@email.com,Family,Active,2020-04-28,2026-04-28,(972) 555-0268,956 Historic Way,Grand Prairie,TX,75051,USA,"Hawkins, Little, Dunn","Leon County TX, Madison County TX"
Brooke,Little,brooke.little@email.com,Student,Expired,2023-11-15,2025-11-15,(972) 555-0269,167 Ancient Street,Grand Prairie,TX,75052,USA,"Little, Dunn, Edwards","Walker County TX, San Jacinto County TX"
Glen,Dunn,glen.dunn@email.com,Individual,Active,2021-07-02,2026-07-02,(469) 555-0270,278 Vintage Blvd,McKinney,TX,75069,USA,"Dunn, Edwards, Collins","Grimes County TX, Waller County TX"
Diane,Edwards,diane.edwards@email.com,Individual,Pending,2025-12-08,2026-12-08,(469) 555-0271,389 Classic Drive,McKinney,TX,75070,USA,"Edwards, Collins, Stewart","Montgomery County TX, Liberty County TX"
Russell,Collins,russell.collins@email.com,Family,Active,2019-02-18,2026-02-18,(469) 555-0272,491 Antique Court,McKinney,TX,75071,USA,"Collins, Stewart, Sanchez","Hardin County TX, Orange County TX"
Crystal,Stewart,crystal.stewart@email.com,Lifetime,Active,2015-07-05,,,(469) 555-0273,502 Retro Lane,Allen,TX,75002,USA,"Stewart, Sanchez, Morris","Jefferson County TX, Chambers County TX"
Charles,Sanchez,charles.sanchez@email.com,Individual,Active,2022-09-22,2026-09-22,(469) 555-0274,613 Throwback Road,Allen,TX,75003,USA,"Sanchez, Morris, Rogers","Galveston County TX, Brazoria County TX"
Debra,Morris,debra.morris@email.com,Individual,Active,2020-02-08,2026-02-08,(469) 555-0275,724 Nostalgia Place,Allen,TX,75004,USA,"Morris, Rogers, Reed","Matagorda County TX, Wharton County TX"
Terry,Rogers,terry.rogers@email.com,Family,Active,2018-10-25,2026-10-25,(469) 555-0276,835 Memory Way,Frisco,TX,75034,USA,"Rogers, Reed, Cook","Colorado County TX, Austin County TX"
Sandy,Reed,sandy.reed@email.com,Student,Active,2024-03-12,2026-03-12,(469) 555-0277,946 Recall Street,Frisco,TX,75035,USA,"Reed, Cook, Morgan","Fort Bend County TX, Harris County TX"
Roger,Cook,roger.cook@email.com,Individual,Expired,2017-05-28,2025-05-28,(469) 555-0278,157 Remember Blvd,Frisco,TX,75036,USA,"Cook, Morgan, Bell","Waller County TX, Washington County TX"
Heidi,Morgan,heidi.morgan@email.com,Individual,Active,2021-11-15,2026-11-15,(940) 555-0279,268 Memoir Drive,Denton,TX,76201,USA,"Morgan, Bell, Murphy","Grimes County TX, Burleson County TX"
Wayne,Bell,wayne.bell@email.com,Family,Active,2019-06-02,2026-06-02,(940) 555-0280,379 Story Court,Denton,TX,76202,USA,"Bell, Murphy, Bailey","Brazos County TX, Robertson County TX"
Erica,Murphy,erica.murphy@email.com,Lifetime,Active,2010-10-18,,,(940) 555-0281,481 Tale Lane,Denton,TX,76203,USA,"Murphy, Bailey, Rivera","Milam County TX, Bell County TX"
Marcus,Bailey,marcus.bailey@email.com,Individual,Pending,2025-09-05,2026-09-05,(940) 555-0282,592 Legend Road,Denton,TX,76204,USA,"Bailey, Rivera, Cooper","Williamson County TX, Travis County TX"
Bonnie,Rivera,bonnie.rivera@email.com,Individual,Active,2022-03-22,2026-03-22,(940) 555-0283,603 Myth Place,Lewisville,TX,75029,USA,"Rivera, Cooper, Richardson","Burnet County TX, Llano County TX"
Leslie,Cooper,leslie.cooper@email.com,Family,Active,2020-08-08,2026-08-08,(940) 555-0284,714 Saga Way,Lewisville,TX,75056,USA,"Cooper, Richardson, Cox","Mason County TX, Menard County TX"
Austin,Richardson,austin.richardson@email.com,Student,Active,2024-11-25,2026-11-25,(940) 555-0285,825 Epic Street,Lewisville,TX,75057,USA,"Richardson, Cox, Howard","Kimble County TX, Sutton County TX"
Lori,Cox,lori.cox@email.com,Individual,Active,2019-04-12,2026-04-12,(940) 555-0286,936 Chronicle Blvd,Flower Mound,TX,75022,USA,"Cox, Howard, Ward","Edwards County TX, Val Verde County TX"
Derek,Howard,derek.howard@email.com,Individual,Expired,2016-09-28,2025-09-28,(940) 555-0287,147 History Drive,Flower Mound,TX,75028,USA,"Howard, Ward, Torres","Kinney County TX, Maverick County TX"
Carla,Ward,carla.ward@email.com,Family,Active,2021-05-15,2026-05-15,(940) 555-0288,258 Heritage Court,Flower Mound,TX,75067,USA,"Ward, Torres, Peterson","Webb County TX, Zapata County TX"
Casey,Torres,casey.torres@email.com,Lifetime,Active,2014-02-02,,,(254) 555-0289,369 Legacy Lane,Waco,TX,76701,USA,"Torres, Peterson, Gray","Jim Hogg County TX, Starr County TX"
Natalie,Peterson,natalie.peterson@email.com,Individual,Active,2022-07-18,2026-07-18,(254) 555-0290,471 Ancestry Road,Waco,TX,76702,USA,"Peterson, Gray, Ramirez","Hidalgo County TX, Cameron County TX"
Bryan,Gray,bryan.gray@email.com,Individual,Pending,2025-10-05,2026-10-05,(254) 555-0291,582 Lineage Place,Waco,TX,76703,USA,"Gray, Ramirez, James","Willacy County TX, Kenedy County TX"
Melissa,Ramirez,melissa.ramirez@email.com,Family,Active,2019-12-22,2026-12-22,(254) 555-0292,693 Roots Way,Waco,TX,76704,USA,"Ramirez, James, Watson","Brooks County TX, Jim Wells County TX"
Adam,James,adam.james@email.com,Student,Expired,2023-08-08,2025-08-08,(254) 555-0293,704 Origin Street,Waco,TX,76705,USA,"James, Watson, Brooks","Kleberg County TX, Nueces County TX"
Holly,Watson,holly.watson@email.com,Individual,Active,2021-02-28,2026-02-28,(254) 555-0294,815 Source Blvd,Temple,TX,76501,USA,"Watson, Brooks, Kelly","San Patricio County TX, Aransas County TX"
Jonathan,Brooks,jonathan.brooks@email.com,Individual,Active,2020-06-15,2026-06-15,(254) 555-0295,926 Beginning Drive,Temple,TX,76502,USA,"Brooks, Kelly, Sanders","Refugio County TX, Goliad County TX"
Megan,Kelly,megan.kelly@email.com,Family,Active,2018-01-02,2026-01-02,(254) 555-0296,137 Foundation Court,Temple,TX,76503,USA,"Kelly, Sanders, Price","Bee County TX, Live Oak County TX"
Perry,Sanders,perry.sanders@email.com,Lifetime,Active,2011-06-18,,,(254) 555-0297,248 Base Lane,Killeen,TX,76541,USA,"Sanders, Price, Bennett","McMullen County TX, La Salle County TX"
Wendy,Price,wendy.price@email.com,Individual,Active,2022-10-05,2026-10-05,(254) 555-0298,359 Ground Road,Killeen,TX,76542,USA,"Price, Bennett, Wood","Dimmit County TX, Zavala County TX"
Oscar,Bennett,oscar.bennett@email.com,Individual,Expired,2017-03-22,2025-03-22,(254) 555-0299,461 Core Place,Killeen,TX,76543,USA,"Bennett, Wood, Barnes","Frio County TX, Atascosa County TX"
Vanessa,Wood,vanessa.wood@email.com,Family,Active,2019-09-08,2026-09-08,(254) 555-0300,572 Essence Way,Killeen,TX,76544,USA,"Wood, Barnes, Ross","Karnes County TX, Wilson County TX"
Lance,Barnes,lance.barnes@email.com,Student,Active,2024-02-15,2026-02-15,(325) 555-0301,683 Heart Street,Abilene,TX,79601,USA,"Barnes, Ross, Henderson","DeWitt County TX, Gonzales County TX"
Courtney,Ross,courtney.ross@email.com,Individual,Active,2020-05-02,2026-05-02,(325) 555-0302,794 Soul Blvd,Abilene,TX,79602,USA,"Ross, Henderson, Coleman","Lavaca County TX, Jackson County TX"
Brett,Henderson,brett.henderson@email.com,Individual,Pending,2025-11-18,2026-11-18,(325) 555-0303,805 Spirit Drive,Abilene,TX,79603,USA,"Henderson, Coleman, Jenkins","Victoria County TX, Calhoun County TX"
Kristen,Coleman,kristen.coleman@email.com,Family,Active,2021-08-05,2026-08-05,(325) 555-0304,916 Mind Court,Abilene,TX,79604,USA,"Coleman, Jenkins, Perry","Refugio County TX, Aransas County TX"
Mitchell,Jenkins,mitchell.jenkins@email.com,Lifetime,Active,2013-01-22,,,(325) 555-0305,127 Thought Lane,San Angelo,TX,76901,USA,"Jenkins, Perry, Powell","San Patricio County TX, Nueces County TX"
Tara,Perry,tara.perry@email.com,Individual,Active,2022-04-08,2026-04-08,(325) 555-0306,238 Idea Road,San Angelo,TX,76902,USA,"Perry, Powell, Long","Kleberg County TX, Kenedy County TX"
Colin,Powell,colin.powell@email.com,Individual,Expired,2016-08-25,2025-08-25,(325) 555-0307,349 Concept Place,San Angelo,TX,76903,USA,"Powell, Long, Patterson","Jim Wells County TX, Duval County TX"
Faith,Long,faith.long@email.com,Family,Active,2019-11-12,2026-11-12,(325) 555-0308,451 Theory Way,San Angelo,TX,76904,USA,"Long, Patterson, Hughes","Brooks County TX, Starr County TX"
Xavier,Patterson,xavier.patterson@email.com,Student,Expired,2023-05-28,2025-05-28,(915) 555-0309,562 Principle Street,El Paso,TX,79901,USA,"Patterson, Hughes, Flores","Hidalgo County TX, Cameron County TX"
Claire,Hughes,claire.hughes@email.com,Individual,Active,2021-03-15,2026-03-15,(915) 555-0310,673 Standard Blvd,El Paso,TX,79902,USA,"Hughes, Flores, Washington","Willacy County TX, Zapata County TX"
Blake,Flores,blake.flores@email.com,Individual,Active,2020-09-02,2026-09-02,(915) 555-0311,784 Rule Drive,El Paso,TX,79903,USA,"Flores, Washington, Butler","Webb County TX, Laredo TX"
Jenna,Washington,jenna.washington@email.com,Family,Active,2018-04-18,2026-04-18,(915) 555-0312,895 Law Court,El Paso,TX,79904,USA,"Washington, Butler, Simmons","Maverick County TX, Kinney County TX"
Dustin,Butler,dustin.butler@email.com,Lifetime,Active,2015-09-05,,,(915) 555-0313,906 Order Lane,El Paso,TX,79905,USA,"Butler, Simmons, Foster","Val Verde County TX, Edwards County TX"
Miranda,Simmons,miranda.simmons@email.com,Individual,Pending,2025-07-22,2026-07-22,(915) 555-0314,117 System Road,El Paso,TX,79906,USA,"Simmons, Foster, Gonzales","Terrell County TX, Brewster County TX"
Ivan,Foster,ivan.foster@email.com,Individual,Active,2022-01-08,2026-01-08,(915) 555-0315,228 Method Place,El Paso,TX,79907,USA,"Foster, Gonzales, Bryant","Presidio County TX, Jeff Davis County TX"
Kayla,Gonzales,kayla.gonzales@email.com,Family,Active,2019-06-25,2026-06-25,(915) 555-0316,339 Process Way,El Paso,TX,79908,USA,"Gonzales, Bryant, Alexander","Culberson County TX, Hudspeth County TX"
Erik,Bryant,erik.bryant@email.com,Student,Active,2024-10-12,2026-10-12,(915) 555-0317,441 Procedure Street,El Paso,TX,79910,USA,"Bryant, Alexander, Russell","El Paso County TX"
Katrina,Alexander,katrina.alexander@email.com,Individual,Active,2020-03-28,2026-03-28,(915) 555-0318,552 Protocol Blvd,El Paso,TX,79911,USA,"Alexander, Russell, Griffin","Bexar County TX, Comal County TX"
Seth,Russell,seth.russell@email.com,Individual,Expired,2017-10-15,2025-10-15,(210) 555-0319,663 Convention Drive,San Antonio,TX,78221,USA,"Russell, Griffin, Diaz","Guadalupe County TX, Wilson County TX"
Lindsey,Griffin,lindsey.griffin@email.com,Family,Active,2021-05-02,2026-05-02,(210) 555-0320,774 Tradition Court,San Antonio,TX,78222,USA,"Griffin, Diaz, Hayes","Kendall County TX, Bandera County TX"
Evan,Diaz,evan.diaz@email.com,Lifetime,Active,2012-12-18,,,(210) 555-0321,885 Custom Lane,San Antonio,TX,78223,USA,"Diaz, Hayes, Myers","Kerr County TX, Gillespie County TX"
Allison,Hayes,allison.hayes@email.com,Individual,Active,2022-06-05,2026-06-05,(210) 555-0322,996 Routine Road,San Antonio,TX,78224,USA,"Hayes, Myers, Ford","Blanco County TX, Hays County TX"
Derek,Myers,derek.myers@email.com,Individual,Pending,2025-08-22,2026-08-22,(210) 555-0323,107 Practice Place,San Antonio,TX,78225,USA,"Myers, Ford, Hamilton","Travis County TX, Williamson County TX"
Cassandra,Ford,cassandra.ford@email.com,Family,Active,2019-01-08,2026-01-08,(210) 555-0324,218 Habit Way,San Antonio,TX,78226,USA,"Ford, Hamilton, Graham","Bastrop County TX, Lee County TX"
Grant,Hamilton,grant.hamilton@email.com,Student,Expired,2023-09-25,2025-09-25,(210) 555-0325,329 Pattern Street,San Antonio,TX,78227,USA,"Hamilton, Graham, Sullivan","Fayette County TX, Colorado County TX"
Morgan,Graham,morgan.graham@email.com,Individual,Active,2021-02-12,2026-02-12,(210) 555-0326,431 Design Blvd,San Antonio,TX,78228,USA,"Graham, Sullivan, Wallace","Lavaca County TX, DeWitt County TX"
Trevor,Sullivan,trevor.sullivan@email.com,Individual,Active,2020-07-28,2026-07-28,(210) 555-0327,542 Plan Drive,San Antonio,TX,78229,USA,"Sullivan, Wallace, West","Gonzales County TX, Karnes County TX"
Haley,Wallace,haley.wallace@email.com,Family,Active,2018-03-15,2026-03-15,(210) 555-0328,653 Scheme Court,San Antonio,TX,78230,USA,"Wallace, West, Cole","Atascosa County TX, Frio County TX"
Troy,West,troy.west@email.com,Lifetime,Active,2014-08-02,,,(210) 555-0329,764 Blueprint Lane,San Antonio,TX,78231,USA,"West, Cole, Jordan","Medina County TX, Uvalde County TX"
Brenda,Cole,brenda.cole@email.com,Individual,Active,2022-11-18,2026-11-18,(210) 555-0330,875 Layout Road,San Antonio,TX,78232,USA,"Cole, Jordan, Owens","Real County TX, Bandera County TX"
Ian,Jordan,ian.jordan@email.com,Individual,Expired,2016-02-05,2025-02-05,(210) 555-0331,986 Format Place,San Antonio,TX,78233,USA,"Jordan, Owens, Reynolds","Zavala County TX, Dimmit County TX"
Nina,Owens,nina.owens@email.com,Family,Active,2019-08-22,2026-08-22,(210) 555-0332,197 Structure Way,San Antonio,TX,78234,USA,"Owens, Reynolds, Fisher","La Salle County TX, McMullen County TX"
Kyle,Reynolds,kyle.reynolds@email.com,Student,Active,2024-05-08,2026-05-08,(210) 555-0333,208 Framework Street,San Antonio,TX,78235,USA,"Reynolds, Fisher, Ellis","Webb County TX, Duval County TX"
Robyn,Fisher,robyn.fisher@email.com,Individual,Pending,2025-10-25,2026-10-25,(210) 555-0334,319 Outline Blvd,San Antonio,TX,78236,USA,"Fisher, Ellis, Harrison","Jim Hogg County TX, Starr County TX"
Luke,Ellis,luke.ellis@email.com,Individual,Active,2020-04-12,2026-04-12,(210) 555-0335,421 Draft Drive,San Antonio,TX,78237,USA,"Ellis, Harrison, Gibson","Hidalgo County TX, Zapata County TX"
Misty,Harrison,misty.harrison@email.com,Family,Active,2021-09-28,2026-09-28,(210) 555-0336,532 Sketch Court,San Antonio,TX,78238,USA,"Harrison, Gibson, McDonald","Cameron County TX, Willacy County TX"
Joel,Gibson,joel.gibson@email.com,Lifetime,Active,2010-04-15,,,(210) 555-0337,643 Model Lane,San Antonio,TX,78239,USA,"Gibson, McDonald, Cruz","Kenedy County TX, Brooks County TX"
Gina,McDonald,gina.mcdonald@email.com,Individual,Active,2022-08-02,2026-08-02,(210) 555-0338,754 Template Road,San Antonio,TX,78240,USA,"McDonald, Cruz, Marshall","Kleberg County TX, Jim Wells County TX"
Neil,Cruz,neil.cruz@email.com,Individual,Expired,2017-01-18,2025-01-18,(210) 555-0339,865 Sample Place,San Antonio,TX,78241,USA,"Cruz, Marshall, Ortiz","Nueces County TX, San Patricio County TX"
Wanda,Marshall,wanda.marshall@email.com,Family,Active,2019-07-05,2026-07-05,(210) 555-0340,976 Example Way,San Antonio,TX,78242,USA,"Marshall, Ortiz, Gomez","Aransas County TX, Refugio County TX"
Pedro,Ortiz,pedro.ortiz@email.com,Student,Expired,2023-12-22,2025-12-22,(210) 555-0341,187 Instance Street,San Antonio,TX,78243,USA,"Ortiz, Gomez, Murray","Goliad County TX, Bee County TX"
Cathy,Gomez,cathy.gomez@email.com,Individual,Active,2021-04-08,2026-04-08,(210) 555-0342,298 Case Blvd,San Antonio,TX,78244,USA,"Gomez, Murray, Freeman","Live Oak County TX, Karnes County TX"
Stuart,Murray,stuart.murray@email.com,Individual,Pending,2025-09-15,2026-09-15,(210) 555-0343,309 Specimen Drive,San Antonio,TX,78245,USA,"Murray, Freeman, Wells","DeWitt County TX, Victoria County TX"
Elaine,Freeman,elaine.freeman@email.com,Family,Active,2020-01-02,2026-01-02,(210) 555-0344,411 Illustration Court,San Antonio,TX,78246,USA,"Freeman, Wells, Webb","Jackson County TX, Matagorda County TX"
Hugh,Wells,hugh.wells@email.com,Lifetime,Active,2013-06-18,,,(210) 555-0345,522 Demonstration Lane,San Antonio,TX,78247,USA,"Wells, Webb, Simpson","Wharton County TX, Colorado County TX"
Vera,Webb,vera.webb@email.com,Individual,Active,2022-03-05,2026-03-05,(210) 555-0346,633 Display Road,San Antonio,TX,78248,USA,"Webb, Simpson, Stevens","Austin County TX, Fort Bend County TX"
Stanley,Simpson,stanley.simpson@email.com,Individual,Active,2019-10-22,2026-10-22,(210) 555-0347,744 Show Place,San Antonio,TX,78249,USA,"Simpson, Stevens, Tucker","Brazoria County TX, Galveston County TX"
Phyllis,Stevens,phyllis.stevens@email.com,Family,Expired,2016-05-08,2025-05-08,(210) 555-0348,855 Exhibit Way,San Antonio,TX,78250,USA,"Stevens, Tucker, Porter","Harris County TX, Chambers County TX"
Dean,Tucker,dean.tucker@email.com,Student,Active,2024-08-25,2026-08-25,(210) 555-0349,966 Presentation Street,San Antonio,TX,78251,USA,"Tucker, Porter, Hunter","Liberty County TX, Hardin County TX"
Doris,Porter,doris.porter@email.com,Individual,Active,2020-12-12,2026-12-12,(210) 555-0350,177 Feature Blvd,San Antonio,TX,78252,USA,"Porter, Hunter, Hicks","Jefferson County TX, Orange County TX"
Felix,Hunter,felix.hunter@email.com,Individual,Active,2021-06-28,2026-06-28,(512) 555-0351,288 Highlight Drive,Austin,TX,78736,USA,"Hunter, Hicks, Crawford","Newton County TX, Jasper County TX"
Jane,Hicks,jane.hicks@email.com,Family,Pending,2025-11-05,2026-11-05,(512) 555-0352,399 Spotlight Court,Austin,TX,78737,USA,"Hicks, Crawford, Henry","Tyler County TX, Polk County TX"
Warren,Crawford,warren.crawford@email.com,Lifetime,Active,2008-09-22,,,(512) 555-0353,401 Focus Lane,Austin,TX,78738,USA,"Crawford, Henry, Boyd","San Jacinto County TX, Walker County TX"
Irene,Henry,irene.henry@email.com,Individual,Active,2022-05-08,2026-05-08,(512) 555-0354,512 Center Road,Austin,TX,78739,USA,"Henry, Boyd, Mason","Trinity County TX, Houston County TX"
Rodney,Boyd,rodney.boyd@email.com,Individual,Expired,2017-08-25,2025-08-25,(512) 555-0355,623 Pivot Place,Austin,TX,78741,USA,"Boyd, Mason, Morales","Anderson County TX, Cherokee County TX"
Connie,Mason,connie.mason@email.com,Family,Active,2019-03-12,2026-03-12,(512) 555-0356,734 Axis Way,Austin,TX,78742,USA,"Mason, Morales, Kennedy","Smith County TX, Wood County TX"
Dale,Morales,dale.morales@email.com,Student,Expired,2023-10-28,2025-10-28,(512) 555-0357,845 Fulcrum Street,Austin,TX,78744,USA,"Morales, Kennedy, Warren","Rains County TX, Van Zandt County TX"
Joanne,Kennedy,joanne.kennedy@email.com,Individual,Active,2021-08-15,2026-08-15,(512) 555-0358,956 Balance Blvd,Austin,TX,78745,USA,"Kennedy, Warren, Dixon","Henderson County TX, Kaufman County TX"
Calvin,Warren,calvin.warren@email.com,Individual,Active,2020-02-02,2026-02-02,(512) 555-0359,167 Equilibrium Drive,Austin,TX,78746,USA,"Warren, Dixon, Ramos","Navarro County TX, Ellis County TX"
Sally,Dixon,sally.dixon@email.com,Family,Active,2018-09-18,2026-09-18,(512) 555-0360,278 Harmony Court,Austin,TX,78747,USA,"Dixon, Ramos, Reyes","Hill County TX, Johnson County TX"
Floyd,Ramos,floyd.ramos@email.com,Lifetime,Active,2011-02-05,,,(512) 555-0361,389 Unity Lane,Austin,TX,78748,USA,"Ramos, Reyes, Burns","Somervell County TX, Bosque County TX"
Rita,Reyes,rita.reyes@email.com,Individual,Pending,2025-08-08,2026-08-08,(512) 555-0362,491 Accord Road,Austin,TX,78749,USA,"Reyes, Burns, Gordon","Erath County TX, Comanche County TX"
