"First Name","Last Name","Preferred Name","Email","Phone","Cell Phone","Address 1","City","State","Zip","Country","Gender","Birthday","Join Date","Expiration Date","Status","Membership Plan","Amount Paid","Payment Method","Payment Date","Marital Status","Surnames Researched","Notes"
"Julie","Kennedy","Julie","j.kennedy@swbell.net","(210) 926-3594","","449 Canyon View","San Antonio","TX","78214","US","Female","03/16/1940","07/27/2023","07/26/2024","Deceased","Individual","45.00","PayPal","07/20/2023","Married","Patel; Stricklin",""
"Paul","Burns","Paul","paul.burns@sbcglobal.net","(210) 801-9022","","14633 Hidden Knoll","San Antonio","TX","78170","US","Male","06/28/1953","04/28/2022","04/28/2023","Active","Family","65.00","Credit Card","04/28/2022","Married","Griffin; Diaz; Cunningham; Underwood; Nelson; Doyle","DNA project coordinator"
"Consuelo","Sanchez","Consuelo","sanchez.consuelo@yahoo.com","(210) 546-7512","","27911 Lockhill Selma Rd","San Antonio","TX","78140","US","Female","08/28/1984","11/10/2019","11/09/2020","Active","Family","65.00","Stripe","11/09/2019","Married","",""
"Esperanza","Long","Esperanza","elong@swbell.net","(210) 349-5000","","18545 Spring Branch","San Antonio","TX","78222","US","Female","","10/05/2019","10/04/2020","Lapsed","Family","65.00","Check","10/01/2019","Married","Wozniak; Kelly; Kensington; Salazar; Mitchell",""
"Mei","Grant","Mei","meigrant@yahoo.com","(210) 309-4886","","11763 Cedar Elm","Universal City","TX","78102","US","Female","05/01/1967","01/20/2023","01/20/2024","Active","Family","65.00","Credit Card","01/16/2023","Widowed","Morgan; Eastman; Edwards; Ashworth; Howard",""
"Renate","James","Renate","renate15@swbell.net","(210) 949-3153","(361) 534-7807","5756 Austin Hwy Suite 544","San Antonio","TX","78121","US","Female","08/31/1978","02/15/2020","02/14/2021","Expired","Family","65.00","Stripe","02/13/2020","Widowed","Hargrove; Fischer; Castillo; Gonzales",""
"Jeremy","Cox","Jeremy","jeremy.cox87@hotmail.com","(830) 310-4830","","20302 Shadow Ln","New Braunfels","TX","78182","US","Male","","07/04/2020","07/04/2021","Expired","Organization","100.00","Check","07/04/2020","Married","De La Cruz",""
"Katarzyna","Liu","Katarzyna","katarzyna93@hotmail.com","(512) 233-7070","","14572 Redland Rd","Austin","TX","78787","US","Female","11/12/1986","08/03/2025","08/03/2026","Active","Individual","45.00","Credit Card","08/03/2025","Married","Trevino; Morris; Garcia; Sheridan; Medina; Rogers; Chen; Cook","Research focus: Polish settlers"
"Yuki","Johnson","Yuki","johnson.yuki@comcast.net","(210) 334-1243","","25836 Jones Maltsberger Rd","San Antonio","TX","78222","US","Female","07/17/1941","06/17/2021","06/17/2022","Active","Individual","45.00","PayPal","06/10/2021","Single","Chamberlain",""
"Jessica","Lopez","Jessica","jessica97@att.net","(281) 275-2323","","4861 McCullough Ave Suite 391","Houston","TX","77567","US","Female","07/04/1959","09/24/2022","09/24/2023","Expired","Individual","45.00","Credit Card","09/18/2022","Married","Krawczyk; Weber",""
"Ricardo","Perkins","Ricardo","r.perkins@yahoo.com","(210) 295-8075","(469) 581-3131","18232 Bandera Rd","San Antonio","TX","78185","US","Male","","12/02/2023","12/01/2024","Active","Family","65.00","Stripe","11/28/2023","Married","Chamberlain; O'Sullivan",""
"Rodney","Krawczyk","Rodney","krawczyk.r72@gmail.com","(210) 229-3955","","24983 Tezel Rd","San Antonio","TX","78100","US","Male","11/13/1942","02/24/2025","02/24/2026","Active","Family","65.00","PayPal","02/18/2025","Married","Hawthorne; Perry",""
"Carol","Allen","Carol","callen@aol.com","(210) 697-8242","","7064 Timber Path # 114","San Antonio","TX","78186","US","Female","11/10/1959","01/07/2022","01/07/2023","Active","Individual","45.00","Check","01/04/2022","Widowed","Wright; Johnson",""
"Shirley","Brennan","Shirley","s.brennan@gmail.com","(210) 646-1307","","2552 Braun Rd","San Antonio","TX","78190","US","Female","07/01/1949","08/27/2024","08/27/2025","Deceased","Individual","45.00","Credit Card","08/22/2024","Married","Chen; Weber",""
"Bruce","Weber","Bruce","b.weber@aol.com","(210) 994-6724","","26836 Sunset Ridge","San Antonio","TX","78213","US","Male","","11/03/2023","11/02/2024","Active","Family","65.00","Check","10/27/2023","Married","Meriwether; Trevino; Northcutt",""
"Ingrid","Hudson","Ingrid","ihudson@gmail.com","(210) 719-2215","","14809 Alamo St Suite 79","San Antonio","TX","78278","US","Female","10/18/1953","10/21/2016","10/21/2017","Deceased","Family","65.00","Check","10/14/2016","Single","Hughes; Forsythe; Rodriguez",""
"Arthur","Kumar","Arthur","kumara@yahoo.com","(361) 618-6543","","1716 Mesa Verde Apt 572","Corpus Christi","TX","78336","US","Male","10/28/1980","06/10/2022","06/10/2023","Active","Individual","45.00","Stripe","06/04/2022","Married","Gutierrez",""
"Angela","Evans","Angela","aevans@yahoo.com","(210) 549-8967","","4508 Flores St Apt 520","San Antonio","TX","78284","US","Female","03/20/1973","10/26/2024","10/26/2025","Active","Individual","45.00","Cash","10/19/2024","Married","Nowak; Kumar; Brooks; Pendleton",""
"Aaliyah","Freeman","Aaliyah","aaliyah34@att.net","(210) 996-7256","","13719 Zarzamora St","San Antonio","TX","78232","US","Female","","12/28/2024","12/28/2025","Active","Individual","45.00","PayPal","12/27/2024","Married","Stricklan; Gonzalez","Attends monthly meetings regularly"
"Isabella","White","Isabella","i.white@yahoo.com","(210) 526-2623","","21298 Lockhill Selma Rd","San Antonio","TX","78204","US","Female","12/27/1978","01/03/2021","01/03/2022","Active","Family","65.00","Check","12/31/2020","Widowed","Patterson; Hartmann; Hernandez; Kelly",""
"Harold","Liu","Harold","harold.liu@gmail.com","(512) 935-3352","","52 Quail Creek","Austin","TX","78623","US","Male","06/03/1938","09/18/2023","09/17/2024","Deceased","Individual","45.00","Check","09/11/2023","Married","Oglethorpe; Brown",""
"Harold","Rogers","Harold","rogersh@gmail.com","(830) 997-8612","","15681 Pat Booker Rd","New Braunfels","TX","78191","US","Male","05/07/1957","05/17/2016","05/17/2017","Active","Individual","45.00","Check","05/10/2016","Married","Simmons; Jackson","Research focus: Texas Revolution"
"Dolores","Vu","Dolores","dolores53@sbcglobal.net","(281) 731-5369","","23826 Hill St Unit 559","Houston","TX","77341","US","Female","","12/14/2021","12/14/2022","Active","Individual","45.00","Check","12/07/2021","Married","","Lifetime achievement award recipient"
"Mark","Nelson","Mark","mark.nelson@yahoo.com","(210) 235-3068","(972) 860-7001","11867 Rigsby Ave","San Antonio","TX","78277","US","Male","06/12/1957","06/13/2018","06/13/2019","Active","Individual","45.00","Check","06/09/2018","Married","Lynch; Stricklen; Hayes; Gutierrez",""
"Siobhan","Rao","Siobhan","s.rao@outlook.com","(210) 662-3828","","14586 Vance Jackson Rd","San Antonio","TX","78185","US","Female","09/10/1937","12/21/2023","12/20/2024","Lapsed","Student","20.00","Check","12/16/2023","Single","Adams; Rivera",""
"Jerome","Krawczyk","Jerome","j.krawczyk@comcast.net","(210) 738-7730","","26980 Pecan Valley Suite 658","San Antonio","TX","78257","US","Male","03/29/1960","03/14/2022","03/14/2023","Expired","Individual","45.00","PayPal","03/14/2022","Widowed","Perez; Jenkins","Mentors new researchers"
"Andrea","Myers","Andrea","a.myers@gmail.com","(210) 806-3526","","20463 Eagle Pass","San Antonio","TX","78172","US","Female","","10/09/2024","10/09/2025","Lapsed","Individual","45.00","Credit Card","10/03/2024","Single","","Presented at annual conference"
"Elzbieta","Dang","Elzbieta","elzbieta.dang8@gmail.com","(210) 548-3353","","23540 Braun Rd","San Antonio","TX","78151","US","Female","","08/04/2020","08/04/2021","Active","Individual","45.00","Check","08/01/2020","Married","","Referred by existing member; Board member"
"Samantha","Berry","Samantha","samantha73@gmail.com","(210) 709-1379","(254) 717-8491","7889 Perrin Beitel Rd","San Antonio","TX","78206","US","Female","11/22/1964","07/05/2024","07/05/2025","Active","Individual","45.00","Credit Card","06/30/2024","Widowed","Garza; Gutierrez; Collins",""
"Luke","Estrada","Luke","l.estrada@yahoo.com","(210) 603-7114","","11112 Silver Horn Dr","San Antonio","TX","78225","US","Male","01/02/1954","09/15/2023","09/14/2024","Active","Family","65.00","Check","09/13/2023","Married","Blackwood; McAllister","Photographs headstones"
"Janice","Trevino","Janice","jtrevino@yahoo.com","(817) 811-8775","","21483 Stone Oak Pkwy","Fort Worth","TX","76021","US","Female","07/05/1970","12/04/2022","12/04/2023","Expired","Individual","45.00","Check","11/27/2022","Married","Mueller; Fitzgerald; Kumar; O'Brien","Moved from Corpus Christi; Research focus: German immigrants"
"Precious","Pierce","Precious","precious50@yahoo.com","(361) 759-6804","","23624 Whisper Bend","Corpus Christi","TX","78431","US","Female","05/25/1949","06/16/2023","06/15/2024","Active","Individual","45.00","Check","06/12/2023","Married","Fischer; Flores; Gonzalez",""
"Zbigniew","Mitchell","Zbigniew","zbigniewmitchell@yahoo.com","(830) 775-5450","","20175 Cibolo Creek","New Braunfels","TX","78181","US","Male","06/23/1939","09/06/2018","09/06/2019","Active","Family","65.00","PayPal","08/30/2018","Married","Jenkins; Kelly; Southard; Martin; Templeton; Lewis; Underwood",""
"Ciara","Robinson","Ciara","ciara14@gmail.com","(210) 238-1151","","19752 Babcock Rd","San Antonio","TX","78136","US","Female","09/16/1966","05/07/2021","05/07/2022","Lapsed","Individual","45.00","Credit Card","05/02/2021","Married","Evans; Jones",""
"Tiffany","Diaz","Tiffany","diazt@sbcglobal.net","(210) 389-3303","","8129 Live Oak St","San Antonio","TX","78257","US","Female","05/19/1994","12/08/2022","12/08/2023","Expired","Individual","45.00","Check","12/07/2022","Married","Drummond; Ross; Rutherford; Wright",""
"Charlotte","Ellis","Charlotte","ellisc@gmail.com","(210) 975-9806","","27054 Perrin Beitel Rd","San Antonio","TX","78267","US","Female","02/19/1969","04/19/2024","","Active","Life","500.00","PayPal","04/17/2024","Married","Morris",""
"Tamika","Rao","Tamika","tamika.rao@yahoo.com","(210) 940-1356","","26754 Live Oak St","San Antonio","TX","78205","US","Female","09/02/1969","01/10/2024","01/09/2025","Deceased","Individual","45.00","PayPal","01/08/2024","Widowed","Braun; Alexander; Griffin",""
"Kayla","O'Neill","Kayla","oneillk@icloud.com","(210) 741-3086","","7298 Live Oak St","San Antonio","TX","78159","US","Female","09/13/1961","05/07/2020","05/07/2021","Expired","Individual","45.00","Cash","05/06/2020","Married","Brown; Cooper; Morris",""
"Catalina","Walker","Catalina","catalinawalker@gmail.com","(214) 343-9255","","7674 Winding Way","Dallas","TX","75130","US","Female","11/17/1942","10/24/2016","10/24/2017","Active","Individual","45.00","Cash","10/18/2016","Single","",""
"Alexis","Gardner","Alexis","gardner.a24@yahoo.com","(210) 507-3365","","1889 Silver Horn Dr","San Antonio","TX","78171","US","Female","05/07/1954","06/03/2021","06/03/2022","Active","Individual","45.00","PayPal","05/31/2021","Married","Anderson; Martinez; Edwards","Attends monthly meetings"
"Doris","Ferguson","Doris","doris25@gmail.com","(361) 606-4921","","25413 Creek Stone","Corpus Christi","TX","78339","US","Female","08/15/1960","06/07/2021","06/07/2022","Active","Senior","30.00","Check","06/01/2021","Married","Brown; Torres; Medina; Pham",""
"Helen","Myers","Helen","myersh@yahoo.com","(210) 940-9037","","24012 Starcrest Dr","San Antonio","TX","78123","US","Female","11/02/1961","11/02/2017","","Active","Life","500.00","Credit Card","10/27/2017","Married","Nelson",""
"Marie","Wright","Marie","marie71@hotmail.com","(210) 212-1274","","9003 Hidden Knoll","San Antonio","TX","78264","US","Female","03/04/1968","10/17/2019","03/02/2026","Grace Period","Individual","45.00","Credit Card","10/13/2019","Widowed","","Board member"
"Kelly","Grant","Kelly","kelly.grant@att.net","(210) 586-8798","(210) 919-3807","2710 Oak Park Dr","San Antonio","TX","78172","US","Female","09/30/1997","10/16/2024","10/16/2025","Active","Individual","45.00","Check","10/15/2024","Single","Chamberlain; Moore; Campbell","DRT member"
"Colleen","Le","Colleen","colleen.le73@gmail.com","(512) 593-3292","","22588 Zarzamora St","Austin","TX","78606","US","Female","","10/20/2022","10/20/2023","Active","Individual","45.00","Check","10/15/2022","Married","Gallagher; Murphy; Simmons; Medina; Russell; Kowalski; Evans; Meriwether",""
"Brendan","Mills","Brendan","brendan.mills11@hotmail.com","(713) 957-7383","","3492 S Presa St Suite 456","Houston","TX","77397","US","Male","03/14/1941","01/03/2021","01/03/2022","Active","Individual","45.00","Check","01/02/2021","Single","Jones; Sanders; Mueller; Hayes; Rodriguez",""
"Judith","Patterson","Judith","judith48@gmail.com","(210) 645-5521","","15868 Nacogdoches Rd","San Antonio","TX","78292","US","Female","04/15/1964","06/27/2024","06/27/2025","Active","Individual","45.00","PayPal","06/22/2024","Married","Underwood; Li; Green; Bennett; Jenkins",""
"Teresa","Perkins","Teresa","teresa47@yahoo.com","(432) 533-7161","","25752 Pine St","Midland","TX","79775","US","Female","09/01/1943","08/26/2023","08/25/2024","Deceased","Individual","45.00","Check","08/25/2023","Widowed","Lynch; Adams; Eastman",""
"Brandon","Huang","Brandon","brandon.huang77@gmail.com","(210) 756-1602","","11782 Dove Hollow","San Antonio","TX","78213","US","Male","06/06/1967","11/21/2025","11/21/2026","Active","Individual","45.00","Check","11/16/2025","","Torres",""
"Denisha","Ellis","Denisha","ellis.d76@yahoo.com","(210) 694-2712","","2814 Callaghan Rd","San Antonio","TX","78244","US","Female","04/17/1957","12/15/2021","12/15/2022","Active","Individual","45.00","Check","12/11/2021","Married","Hughes",""
"Christine","Webb","Christine","christine.webb55@gmail.com","(512) 855-8080","","24163 SE Military Dr","Austin","TX","78649","US","Female","","02/19/2023","02/19/2024","Active","Individual","45.00","Check","02/17/2023","Married","Galbraith","Active cemetery researcher"
"Anita","Nguyen","Anita","anguyen@gmail.com","(361) 888-3194","","7818 Moss Rock Suite 711","Corpus Christi","TX","78465","US","Female","10/13/1964","11/06/2022","11/06/2023","Active","Individual","45.00","PayPal","10/30/2022","Married","Ashworth; White; Simmons; Williams; Brennan",""
"Precious","Estrada","Precious","precious63@yahoo.com","(210) 778-1505","","7227 Evers Rd Unit 551","San Antonio","TX","78121","US","Female","08/18/1962","09/27/2020","09/27/2021","Active","Individual","45.00","Stripe","09/27/2020","Widowed","Hartmann; Allen",""
"Megan","Nichols","Megan","","(210) 649-2923","","7765 Harry Wurzbach Rd","San Antonio","TX","78190","US","Female","10/05/1956","10/12/2023","","Active","Life","500.00","PayPal","10/10/2023","Married","Gray; Stricklan","Gift membership"
"Liam","Chen","Liam","chen.liam@earthlink.net","(210) 453-7434","","18922 Pine Meadow","San Antonio","TX","78148","US","Male","02/13/1966","06/15/2024","06/15/2025","Active","Individual","45.00","Stripe","06/10/2024","Single","Lee; Kimball; Jankowski; Eastman; Fitzgerald",""
"Aaliyah","Le","Aaliyah","lea@yahoo.com","(830) 760-3139","","15904 Spring Branch","New Braunfels","TX","78105","US","Female","","03/15/2018","03/15/2019","Expired","Individual","45.00","PayPal","03/09/2018","Married","Underwood",""
"Teresa","Evans","Teresa","evans.teresa@gmail.com","(210) 943-4836","","2989 Quail Creek Unit 489","San Antonio","TX","78216","US","Female","08/01/1960","07/23/2018","07/23/2019","Active","Individual","45.00","Check","07/22/2018","Married","","Church records researcher"
"Brenda","Gallagher","Brenda","gallagher.brenda@aol.com","(210) 824-3688","","23673 Perrin Beitel Rd","San Antonio","TX","78252","US","Female","04/03/1956","12/13/2018","12/13/2019","Lapsed","Individual","45.00","Check","12/07/2018","Married","Rodriguez; Cox",""
"Priya","Rice","Priya","rice.p27@hotmail.com","(512) 965-7418","","1789 Cibolo Creek","Austin","TX","78730","US","Female","09/29/1964","03/13/2024","03/13/2025","Deceased","Senior","30.00","Credit Card","03/07/2024","Married","Martinez; Brown; Chen; Garcia",""
"Donald","Le","Donald","donald.le54@yahoo.com","(210) 484-2369","","16755 Harry Wurzbach Rd","San Antonio","TX","78268","US","Male","11/22/1963","04/02/2021","04/02/2022","Active","Individual","45.00","Check","03/27/2021","Married","Fitzgerald",""
"Kathleen","Miller","Kathleen","kmiller@gmail.com","(210) 967-5403","","3869 Broadway","San Antonio","TX","78134","US","Female","10/21/1947","08/28/2020","08/28/2021","Active","Individual","45.00","PayPal","08/23/2020","Married","Hargrove; Ingersoll; King; Murphy; McAllister",""
"Michael","Simpson","Mikey","michael.simpson5@gmail.com","(210) 626-6241","","2553 Pecan Valley","San Antonio","TX","78222","US","Male","01/31/1960","05/11/2024","05/11/2025","Active","Student","20.00","Check","05/04/2024","Married","Wood; McAllister; Whitfield",""
"Enrique","Myers","Enrique","enrique.myers32@yahoo.com","(210) 851-1157","","48 Sierra Blanca","San Antonio","TX","78113","US","Male","07/16/1998","05/03/2018","05/03/2019","Active","Honorary","0.00","Check","04/30/2018","Divorced","Alexander; Jankowski; Oglethorpe; Rodriguez",""
"Liesel","Tran","Liesel","lieseltran@outlook.com","(210) 602-6345","","8912 Bitters Rd Unit 140","San Antonio","TX","78219","US","Female","","06/25/2018","06/25/2019","Active","Individual","45.00","Check","06/21/2018","Married","Pemberton",""
"Hana","Clark","Hana","hanaclark@sbcglobal.net","(432) 725-1802","","8526 Bluemel Rd # 876","Midland","TX","79771","US","Female","08/04/1947","04/05/2015","04/04/2016","Expired","Individual","45.00","Check","03/30/2015","Married","Pham; Chen; Torres","Moved from Lubbock"
"Ravi","Reddy","Ravi","ravi25@gmail.com","(210) 941-7471","","12542 Spring Branch","San Antonio","TX","78127","US","Male","08/29/1948","11/10/2022","11/10/2023","Active","Family","65.00","PayPal","11/03/2022","Married","Sanchez",""
"Megan","Taylor","Megan","taylor.m45@yahoo.com","(210) 384-1427","","7177 Broadway","San Antonio","TX","78107","US","Female","06/25/1958","04/22/2018","04/22/2019","Active","Individual","45.00","Check","04/22/2018","Widowed","Hayes; Butler; Phillips",""
"Roisin","Lewandowski","Roisin","lewandowski.roisin@gmail.com","(210) 704-9882","","16071 Alamo St Unit 617","San Antonio","TX","78202","US","Female","10/07/1930","06/02/2018","06/02/2019","Expired","Individual","45.00","Check","05/31/2018","Widowed","Martinez; Alexander; Drummond; Cunningham; Fischer",""
"Eugene","Ramirez","Eugene","ramireze@aol.com","(210) 428-3872","","24052 Fox Run","San Antonio","TX","78293","US","Male","","10/02/2024","10/02/2025","Expired","Individual","45.00","Check","09/27/2024","Divorced","Trevino; Allen","Moved from out of state"
"Roy","Long","Roy","longr@icloud.com","(210) 414-5088","","11485 Hausman Rd","San Antonio","TX","78206","US","Male","03/29/1971","07/04/2020","07/04/2021","Active","Student","20.00","Credit Card","07/01/2020","Married","","Active cemetery researcher"
"Edward","Gonzalez","Edward","gonzaleze@gmail.com","(210) 921-1507","","21419 Pleasanton Rd","San Antonio","TX","78120","US","Male","","09/24/2021","09/24/2022","Active","Honorary","0.00","Cash","09/20/2021","Single","Schneider",""
"Helen","Young","Helen","helen94@yahoo.com","(210) 411-3798","","2685 Redland Rd","San Antonio","TX","78150","US","Female","05/03/1985","07/12/2020","07/12/2021","Active","Individual","45.00","Check","07/12/2020","Married","Gray; Trevino",""
"Agnieszka","Collins","Agnieszka","agnieszkacollins@gmail.com","(210) 735-7858","","22514 Redland Rd","San Antonio","TX","78260","US","Female","12/02/1954","11/20/2023","11/19/2024","Active","Organization","100.00","Check","11/13/2023","Married","Collins; Hill; Anderson; Hartmann; Clark; Meriwether; Wisniewski",""
"Emma","Henry","Emma","henry.e50@hotmail.com","(210) 482-9514","","406 Dove Hollow","San Antonio","TX","78114","US","Female","10/19/1942","10/25/2024","10/25/2025","Expired","Organization","100.00","Check","10/21/2024","Divorced","Peterson; Diaz; Beaumont; Brennan; Cantu",""
"Sean","Truong","Sean","sean.truong89@outlook.com","(830) 907-4892","(817) 475-7102","663 Autumn Mist","Fredericksburg","TX","78639","US","Male","12/22/1959","12/15/2018","12/15/2019","Active","Student","20.00","Credit Card","12/10/2018","Married","Edwards; Nowak; Reed","Photographs headstones"
"Marie","Hernandez","Marie","hernandez.marie@gmail.com","(817) 377-4158","","6578 Callaghan Rd","Fort Worth","TX","76006","US","Female","05/12/1969","02/22/2022","02/22/2023","Expired","Individual","45.00","Check","02/17/2022","Married","O'Connor; Chen; Medina; Washington; Flores; Perez; Torres",""
"Sara","Harris","Sara","saraharris@gmail.com","(512) 867-7709","","25569 Fredericksburg Rd","Austin","TX","78782","US","Female","04/09/1976","12/21/2023","12/20/2024","Active","Organization","100.00","Check","12/15/2023","Divorced","Wood; Kensington",""
"Nia","Morris","Nia","","(210) 774-5631","","3543 Highland Ave Suite 656","Universal City","TX","78135","US","Female","11/10/1970","01/26/2019","01/26/2020","Active","Individual","45.00","Credit Card","01/20/2019","Single","Beaumont; Lynch; Price; Torres","Moved from Dallas"
